AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
2,0,3,5,2,40,11,4,36,Harrison,2,2,100,31,1,3,Harrison Barnes,12,4,Barnes,F,1,Golden State,0
6,0,7,6,4,67,12,7,58,Draymond,2,0,0,36,1,4,Draymond Green,18,8,Green,F,1,Golden State,4
2,0,6,0,0,0,4,3,75,Andrew,0,0,0,14,1,6,Andrew Bogut,6,7,Bogut,C,2,Golden State,1
5,0,2,11,7,64,15,8,53,Klay,0,0,0,31,0,1,Klay Thompson,23,2,Thompson,G,2,Golden State,1
5,0,0,7,1,14,9,2,22,Stephen,1,1,100,19,0,0,Stephen Curry,6,0,Curry,G,1,Golden State,5
4,0,3,4,3,75,11,9,82,Andre,4,1,25,24,2,2,Andre Iguodala,22,5,Iguodala,N/A,1,Golden State,1
2,0,2,1,1,100,2,2,100,Ian,0,0,0,13,0,1,Ian Clark,5,2,Clark,N/A,1,Golden State,1
1,0,0,0,0,0,2,0,0,James,2,0,0,6,0,1,James Michael McAdoo,0,0,Michael,N/A,1,Golden State,1
1,1,2,2,1,50,5,2,40,Marreese,2,2,100,16,1,3,Marreese Speights,7,3,Speights,N/A,0,Golden State,1
9,0,5,0,0,0,8,4,50,Shaun,1,1,100,23,0,2,Shaun Livingston,9,5,Livingston,N/A,0,Golden State,1
0,0,5,0,0,0,2,1,50,Festus,2,1,50,14,1,2,Festus Ezeli,3,6,Ezeli,N/A,0,Golden State,0
0,1,1,2,1,50,2,1,50,Brandon,0,0,0,4,0,0,Brandon Rush,3,1,Rush,N/A,0,Golden State,0
1,0,0,2,1,50,6,3,50,Leandro,0,0,0,12,0,1,Leandro Barbosa,7,0,Barbosa,N/A,0,Golden State,0
0,0,1,4,0,0,11,3,27,Trevor,3,2,67,36,1,4,Trevor Ariza,8,2,Ariza,F,2,Houston,2
2,0,4,3,1,33,6,3,50,Donatas,4,1,25,25,0,2,Donatas Motiejunas,8,4,Motiejunas,F,1,Houston,4
0,1,12,0,0,0,9,7,78,Dwight,13,5,39,36,3,2,Dwight Howard,19,15,Howard,C,0,Houston,2
10,0,6,8,2,25,13,4,31,James,10,8,80,40,1,1,James Harden,18,7,Harden,G,7,Houston,4
1,0,1,3,0,0,5,1,20,Patrick,0,0,0,16,1,2,Patrick Beverley,2,2,Beverley,G,1,Houston,2
0,0,3,2,1,50,12,6,50,Michael,4,4,100,19,0,1,Michael Beasley,17,3,Beasley,N/A,0,Houston,1
3,0,4,3,1,33,7,4,57,Jason,0,0,0,27,0,5,Jason Terry,9,4,Terry,N/A,0,Houston,3
1,1,1,0,0,0,1,0,0,Clint,2,1,50,9,1,1,Clint Capela,1,2,Capela,N/A,0,Houston,0
1,0,0,3,0,0,10,4,40,Corey,2,2,100,18,2,2,Corey Brewer,10,2,Brewer,N/A,0,Houston,0
0,1,1,1,0,0,2,0,0,KJ,0,0,0,8,0,0,KJ McDaniels,0,1,McDaniels,N/A,0,Houston,0
0,0,2,0,0,0,2,1,50,Montrezl,0,0,0,6,0,0,Montrezl Harrell,2,2,Harrell,N/A,0,Houston,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Terrence,N/A,N/A,N/A,N/A,N/A,N/A,Terrence Jones,N/A,N/A,Jones,N/A,N/A,Houston,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Josh,N/A,N/A,N/A,N/A,N/A,N/A,Josh Smith,N/A,N/A,Smith,N/A,N/A,Houston,N/A
