p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Frazier,,0,,3B,2,,0,0,3,Todd Frazier,,,1.000,,.100,,,1,Todd,,,,,1,,,0,.439,,400,,0,,,1,,0,,0,,,0,0,1,0,0,White Sox,0,.233,0,.206
,Gonzalez,,,,,,,,,,Miguel Gonzalez,,,,,,,,,Miguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Sox,,,,
0,Swarzak,0,0,0,P,0,4,0,0,0,Anthony Swarzak,1,,.000,0,.000,0,12,0,Anthony,0,2,,0,0,1,1/3,0,.000,1,,,0,50,,0,0.00,0,4,0,0,15,0,0,0,0,0,White Sox,0,.000,0,.000
,Cabrera,,0,,LF,1,,0,0,4,Melky Cabrera,,1,.000,,.261,,,2,Melky,,,,,0,,,0,.668,,200,,0,,,0,,0,,1,,,0,0,1,0,0,White Sox,0,.348,0,.320
,Putnam,,,,,,,,,,Zach Putnam,,,,,,,,,Zach,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Sox,,,,
4,Quintana,5,0,3,P,0,23,0,0,0,Jose Quintana,0,,1.000,0,.000,3,60,0,Jose,0,6,,1,0,6,,0,.000,0,,true,0,51,,2,6.17,0,18,0,3,106,0,0,0,0,0,White Sox,0,.000,0,.000
,Robertson,,,,,,,,,,David Robertson,,,,,,,,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Sox,,,,
,Holland,,,,,,,,,,Derek Holland,,,,,,,,,Derek,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Sox,,,,
0,Jones,0,0,0,P,0,4,0,0,0,Nate Jones,1,,.000,0,.000,0,15,0,Nate,0,3,,0,0,1,1/3,0,.000,2,,,0,51,,0,3.52,0,4,0,0,24,0,0,0,0,0,White Sox,0,.000,0,.000
,Garcia,,0,,RF,0,,0,0,3,Avisail Garcia,,2,.000,,.400,,,0,Avisail,,,,,0,,,0,1.077,,500,,0,,,0,,0,,0,,,0,0,1,0,0,White Sox,0,.618,0,.459
0,Jennings,1,0,1,P,0,3,0,0,0,Dan Jennings,1,,1.000,0,.000,0,10,0,Dan,0,0,,0,1,0,1/3,0,.000,0,,,0,38,,0,1.50,0,1,0,0,16,0,0,0,0,0,White Sox,0,.000,0,.000
,Garcia,,,,,,,,,,Leury Garcia,,,,,,,,,Leury,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Sox,,,,
,Abreu,,0,,1B,1,,0,0,3,Jose Abreu,,1,1.000,,.190,,,1,Jose,,,,,8,,,0,.471,,300,,0,,,2,,0,,0,,,0,0,1,0,0,White Sox,0,.241,0,.230
,Narvaez,,0,,C,0,,0,0,2,Omar Narvaez,,,1.000,,.174,,,0,Omar,,,,,10,,,1,.443,,800,,0,,,2,,0,,1,,,0,0,1,0,0,White Sox,0,.174,0,.269
,Sanchez,,0,,2B,0,,0,0,3,Yolmer Sanchez,,2,1.000,,.267,,,0,Yolmer,,,,,3,,,0,.734,,700,,0,,,3,,0,,0,,,0,0,1,0,0,White Sox,0,.467,0,.267
,Davidson,,,,,,,,,,Matt Davidson,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Sox,,,,
