inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Jameson Taillon,1,3,1,Alejandro De Aza,['N/A'],['N/A'],['N/A'],Lineout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jameson Taillon,2,0,0,Michael Conforto,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jameson Taillon,2,2,2,Yoenis Cespedes,['Yoenis Cespedes'],['N/A'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jameson Taillon,3,0,0,Neil Walker,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Noah Syndergaard,0,0,1,John Jaso,['John Jaso'],['N/A'],['N/A'],Field Error,N/A,0,0,N/A,N/A,Neil Walker
1,bottom,0,[],Noah Syndergaard,0,4,2,Andrew McCutchen,['Andrew McCutchen'],['John Jaso'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
1,bottom,1,['John Jaso'],Noah Syndergaard,0,2,1,Gregory Polanco,['N/A'],['Gregory Polanco'],['Andrew McCutchen'],Double,N/A,1,0,1,N/A,N/A
1,bottom,1,['Andrew McCutchen'],Noah Syndergaard,0,0,1,Jung Ho Kang,['Jung Ho Kang'],['N/A'],['Gregory Polanco'],Single,N/A,2,0,1,N/A,N/A
1,bottom,0,[],Noah Syndergaard,1,0,3,Josh Harrison,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
1,bottom,0,[],Noah Syndergaard,2,1,2,Francisco Cervelli,['N/A'],['N/A'],['N/A'],Pop Out,N/A,2,0,N/A,N/A,N/A
1,bottom,0,[],N/A,2,2,2,Matt Joyce,['N/A'],['Jung Ho Kang'],['N/A'],Stolen Base 2B,N/A,2,0,N/A,N/A,N/A
1,bottom,0,[],Noah Syndergaard,3,2,3,Matt Joyce,['N/A'],['Jung Ho Kang'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Jameson Taillon,0,0,0,James Loney,['James Loney'],['N/A'],['N/A'],Single,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Jameson Taillon,1,3,2,Asdrubal Cabrera,['Asdrubal Cabrera'],['N/A'],['N/A'],Forceout,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Jameson Taillon,1,1,0,Ty Kelly,['Ty Kelly'],['Asdrubal Cabrera'],['N/A'],Single,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Jameson Taillon,3,0,2,Rene Rivera,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Noah Syndergaard,1,0,3,Sean Rodriguez,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Noah Syndergaard,2,1,3,Jameson Taillon,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Noah Syndergaard,2,0,2,John Jaso,['John Jaso'],['N/A'],['N/A'],Single,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Noah Syndergaard,3,0,2,Andrew McCutchen,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jameson Taillon,1,0,0,Noah Syndergaard,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jameson Taillon,2,1,3,Alejandro De Aza,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jameson Taillon,2,4,2,Michael Conforto,['Michael Conforto'],['N/A'],['N/A'],Walk,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jameson Taillon,3,1,2,Yoenis Cespedes,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Noah Syndergaard,0,1,1,Gregory Polanco,['N/A'],['Gregory Polanco'],['N/A'],Double,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],N/A,0,3,2,Jung Ho Kang,['N/A'],['N/A'],['Gregory Polanco'],Stolen Base 3B,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Noah Syndergaard,1,3,2,Jung Ho Kang,['N/A'],['N/A'],['Gregory Polanco'],Groundout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Noah Syndergaard,2,2,1,Josh Harrison,['Josh Harrison'],['N/A'],['N/A'],Fielders Choice Out,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],N/A,2,1,1,Francisco Cervelli,['N/A'],['Josh Harrison'],['N/A'],Stolen Base 2B,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Noah Syndergaard,2,4,2,Francisco Cervelli,['Francisco Cervelli'],['Josh Harrison'],['Josh Harrison'],Walk,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Noah Syndergaard,3,1,1,Matt Joyce,['N/A'],['N/A'],['N/A'],Lineout,N/A,2,0,N/A,N/A,N/A
4,top,0,[],Jameson Taillon,0,4,2,Neil Walker,['Neil Walker'],['N/A'],['N/A'],Walk,N/A,2,0,N/A,N/A,N/A
4,top,0,[],Jameson Taillon,2,1,0,James Loney,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,2,0,N/A,N/A,N/A
4,top,0,[],Jameson Taillon,2,0,2,Asdrubal Cabrera,['N/A'],['Asdrubal Cabrera'],['N/A'],Double,N/A,2,0,N/A,N/A,N/A
4,top,2,['Asdrubal Cabrera'],Jameson Taillon,2,3,1,Ty Kelly,['N/A'],['N/A'],['N/A'],Home Run,N/A,2,2,2,N/A,N/A
4,top,0,[],Jameson Taillon,3,3,3,Rene Rivera,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,2,N/A,N/A,N/A
4,bottom,0,[],Noah Syndergaard,0,0,1,Sean Rodriguez,['N/A'],['Sean Rodriguez'],['N/A'],Double,N/A,2,2,N/A,N/A,N/A
4,bottom,0,[],Noah Syndergaard,1,0,0,Jameson Taillon,['N/A'],['N/A'],['Sean Rodriguez'],Sac Bunt,N/A,2,2,N/A,N/A,N/A
4,bottom,1,['Sean Rodriguez'],Noah Syndergaard,1,0,1,John Jaso,['N/A'],['John Jaso'],['N/A'],Double,N/A,3,2,1,N/A,N/A
4,bottom,0,[],Noah Syndergaard,2,2,1,Andrew McCutchen,['N/A'],['N/A'],['N/A'],Lineout,N/A,3,2,N/A,N/A,N/A
4,bottom,0,[],Noah Syndergaard,3,1,1,Gregory Polanco,['N/A'],['N/A'],['N/A'],Flyout,N/A,3,2,N/A,N/A,N/A
5,top,0,[],Jameson Taillon,0,3,2,Noah Syndergaard,['N/A'],['Noah Syndergaard'],['N/A'],Double,N/A,3,2,N/A,N/A,N/A
5,top,0,[],Jameson Taillon,1,0,1,Alejandro De Aza,['N/A'],['N/A'],['Noah Syndergaard'],Sac Bunt,N/A,3,2,N/A,N/A,N/A
5,top,1,['Noah Syndergaard'],Jameson Taillon,2,0,0,Michael Conforto,['N/A'],['N/A'],['N/A'],Sac Fly,N/A,3,3,1,N/A,N/A
5,top,0,[],Jameson Taillon,3,1,1,Yoenis Cespedes,['N/A'],['N/A'],['N/A'],Groundout,N/A,3,3,N/A,N/A,N/A
5,bottom,0,[],Noah Syndergaard,1,0,3,Jung Ho Kang,['N/A'],['N/A'],['N/A'],Strikeout,N/A,3,3,N/A,N/A,N/A
5,bottom,0,[],Noah Syndergaard,1,0,2,Josh Harrison,['N/A'],['Josh Harrison'],['N/A'],Double,N/A,3,3,N/A,N/A,N/A
5,bottom,0,[],Noah Syndergaard,2,3,2,Francisco Cervelli,['N/A'],['N/A'],['Josh Harrison'],Groundout,N/A,3,3,N/A,N/A,N/A
5,bottom,0,[],Noah Syndergaard,3,0,2,Matt Joyce,['N/A'],['N/A'],['N/A'],Lineout,N/A,3,3,N/A,N/A,N/A
6,top,0,[],Jameson Taillon,1,0,2,Neil Walker,['N/A'],['N/A'],['N/A'],Flyout,N/A,3,3,N/A,N/A,N/A
6,top,0,[],Jameson Taillon,2,0,3,James Loney,['N/A'],['N/A'],['N/A'],Strikeout,N/A,3,3,N/A,N/A,N/A
6,top,0,[],Jameson Taillon,3,1,1,Asdrubal Cabrera,['N/A'],['N/A'],['N/A'],Pop Out,N/A,3,3,N/A,N/A,N/A
6,bottom,0,[],Noah Syndergaard,1,3,1,Sean Rodriguez,['N/A'],['N/A'],['N/A'],Groundout,N/A,3,3,N/A,N/A,N/A
6,bottom,0,[],Noah Syndergaard,2,1,0,Cole Figueroa,['N/A'],['N/A'],['N/A'],Pop Out,N/A,3,3,N/A,N/A,N/A
6,bottom,0,[],Noah Syndergaard,3,0,0,John Jaso,['N/A'],['N/A'],['N/A'],Flyout,N/A,3,3,N/A,N/A,N/A
