p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Carpenter,,,,,,,,,,Chris Carpenter,,,,,,,,,Chris,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Miller,,,,,,,,,,Trever Miller,,,,,,,,,Trever,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Reyes,,,,,,,,,,Dennys Reyes,,,,,,,,,Dennys,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Suppan,,,,,,,,,,Jeff Suppan,,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Winn,,0,,PH-LF,1,,0,0,2,Randy Winn,,1,.000,,.250,,,1,Randy,,,,,0,,,0,.690,,202,,0,,,0,,0,,0,,,0,0,0,0,0,Cardinals,0,.372,0,.318
,LaRue,,,,,,,,,,Jason LaRue,,,,,,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Feliz,,0,,3B,1,,0,0,2,Pedro Feliz,,,.500,,.218,,,1,Pedro,,,,,0,,,0,.540,,701,,1,,,1,,0,,1,,,0,1,0,0,1,Cardinals,0,.299,0,.241
,Westbrook,,,,,,,,,,Jake Westbrook,,,,,,,,,Jake,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Lopez,,,,,,,,,,Felipe Lopez,,,,,,,,,Felipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
,Penny,,,,,,,,,,Brad Penny,,,,,,,,,Brad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardinals,,,,
2,Franklin,1,0,0,P,0,4,0,0,0,Ryan Franklin,6,,1.000,2,.000,1,11,0,Ryan,24,0,,1,0,1,,0,.000,0,301,,0,47,,1,3.64,0,3,0,1,18,0,0,0,0,0,Cardinals,0,.000,0,.000
