inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],R.A. Dickey,0,3,1,Jonathan Villar,['N/A'],['Jonathan Villar'],['N/A'],Double,N/A,0,0,N/A,N/A,N/A
1,top,0,[],R.A. Dickey,1,0,0,Jose Altuve,['N/A'],['N/A'],['Jonathan Villar'],Sac Bunt,N/A,0,0,N/A,N/A,N/A
1,top,0,[],R.A. Dickey,2,0,3,Jason Castro,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],R.A. Dickey,3,1,3,Chris Carter,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jordan Lyles,0,1,2,Jose Reyes,['N/A'],['Jose Reyes'],['N/A'],Double,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jordan Lyles,1,1,0,Melky Cabrera,['N/A'],['N/A'],['Jose Reyes'],Groundout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jordan Lyles,2,1,1,Jose Bautista,['N/A'],['N/A'],['N/A'],Pop Out,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jordan Lyles,3,0,1,Edwin Encarnacion,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,top,0,[],R.A. Dickey,0,4,2,Brett Wallace,['Brett Wallace'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
2,top,0,[],R.A. Dickey,1,1,2,J.D. Martinez,['J.D. Martinez'],['N/A'],['N/A'],Forceout,N/A,0,0,N/A,N/A,N/A
2,top,2,['J.D. Martinez'],R.A. Dickey,1,0,1,Marc Krauss,['N/A'],['N/A'],['N/A'],Home Run,N/A,0,2,2,N/A,N/A
2,top,0,[],R.A. Dickey,2,2,3,Matt Dominguez,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,2,N/A,N/A,N/A
2,top,0,[],R.A. Dickey,3,2,2,Brandon Barnes,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,2,N/A,N/A,N/A
2,bottom,0,[],Jordan Lyles,1,3,2,Adam Lind,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,2,N/A,N/A,N/A
2,bottom,0,[],Jordan Lyles,1,0,0,Colby Rasmus,['Colby Rasmus'],['N/A'],['N/A'],Single,N/A,0,2,N/A,N/A,N/A
2,bottom,0,[],Jordan Lyles,1,4,1,Maicer Izturis,['Maicer Izturis'],['Colby Rasmus'],['N/A'],Walk,N/A,0,2,N/A,N/A,N/A
2,bottom,0,[],Jordan Lyles,2,1,1,Brett Lawrie,['N/A'],['N/A'],['N/A'],Pop Out,N/A,0,2,N/A,N/A,N/A
2,bottom,0,[],Jordan Lyles,3,1,0,Josh Thole,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,2,N/A,N/A,N/A
3,top,0,[],R.A. Dickey,1,0,3,Jonathan Villar,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,2,N/A,N/A,N/A
3,top,0,[],R.A. Dickey,2,3,3,Jose Altuve,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,2,N/A,N/A,N/A
3,top,0,[],R.A. Dickey,2,4,2,Jason Castro,['Jason Castro'],['N/A'],['N/A'],Walk,N/A,0,2,N/A,N/A,N/A
3,top,0,[],R.A. Dickey,3,2,2,Chris Carter,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,2,N/A,N/A,N/A
3,bottom,1,[],Jordan Lyles,0,2,1,Jose Reyes,['N/A'],['N/A'],['N/A'],Home Run,N/A,1,2,1,N/A,N/A
3,bottom,0,[],Jordan Lyles,0,1,0,Melky Cabrera,['N/A'],['Melky Cabrera'],['N/A'],Double,N/A,1,2,N/A,N/A,N/A
3,bottom,1,['Melky Cabrera'],Jordan Lyles,1,3,1,Jose Bautista,['N/A'],['N/A'],['Melky Cabrera'],Sac Fly,N/A,2,2,1,N/A,N/A
3,bottom,0,[],Jordan Lyles,1,4,2,Edwin Encarnacion,['Edwin Encarnacion'],['N/A'],['N/A'],Walk,N/A,2,2,N/A,N/A,N/A
3,bottom,0,[],Jordan Lyles,2,2,1,Adam Lind,['Adam Lind'],['N/A'],['N/A'],Forceout,N/A,2,2,N/A,N/A,N/A
3,bottom,0,[],Jordan Lyles,3,3,3,Colby Rasmus,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,2,N/A,N/A,N/A
4,top,0,[],R.A. Dickey,0,1,2,Brett Wallace,['Brett Wallace'],['N/A'],['N/A'],Single,N/A,2,2,N/A,N/A,N/A
4,top,0,[],R.A. Dickey,0,0,0,J.D. Martinez,['N/A'],['J.D. Martinez'],['Brett Wallace'],Double,N/A,2,2,N/A,N/A,N/A
