p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Burnett,,,,,,,,,,A.J. Burnett,,,,,,,,,A.J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Rollins,,0,,SS,3,,0,0,6,Jimmy Rollins,,2,1.000,,.250,,,4,Jimmy,,,,,1,,,1,.726,,200,,0,,,5,,0,,1,,,0,1,0,0,0,Phillies,0,.389,0,.337
,Utley,,0,,2B,2,,0,0,7,Chase Utley,,2,1.000,,.296,,,3,Chase,,,,,2,,,0,.815,,300,,0,,,4,,0,,3,,,1,2,0,0,3,Phillies,0,.459,0,.356
,Byrd,,0,,RF,1,,0,0,5,Marlon Byrd,,1,1.000,,.265,,,3,Marlon,,,,,5,,,1,.790,,500,,0,,,0,,0,,1,,,0,0,2,0,0,Phillies,0,.473,0,.317
,Nieves,,,,,,,,,,Wil Nieves,,,,,,,,,Wil,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Lee,,,,,,,,,,Cliff Lee,,,,,,,,,Cliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Howard,,0,,1B,2,,0,0,6,Ryan Howard,,1,1.000,,.246,,,3,Ryan,,,,,16,,,0,.745,,400,,0,,,1,,0,,2,,,0,0,1,0,0,Phillies,0,.427,0,.318
,Cedeno,,0,,PH,0,,0,0,1,Ronny Cedeno,,1,.000,,.000,,,1,Ronny,,,,,0,,,0,.000,,907,,0,,,0,,0,,0,,,0,0,0,0,0,Phillies,0,.000,0,.000
,Adams,,,,,,,,,,Mike Adams,,,,,,,,,Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
4,Hamels,6,0,0,P,1,26,0,0,2,Cole Hamels,2,,1.000,0,.250,3,64,0,Cole,0,7,,3,1,7,,0,.536,0,900,,0,60,,0,2.84,0,21,0,3,98,0,0,1,0,0,Phillies,0,.286,0,.250
,Hernandez,,,,,,,,,,Roberto Hernandez,,,,,,,,,Roberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Ruiz,,0,,C,3,,0,1,4,Carlos Ruiz,,2,1.000,,.257,,,3,Carlos,,,,,11,,,0,.720,,700,,0,,,1,,0,,0,,,0,0,0,0,1,Phillies,0,.357,1,.363
,Gwynn Jr.,,1,,PH,0,,0,0,0,Tony Gwynn Jr.,,1,.000,,.151,,,0,Tony,,,,,0,,,0,.437,,901,,0,,,0,,0,,0,,,0,0,0,0,0,Phillies,0,.174,0,.263
1,Papelbon,0,0,0,P,0,3,0,0,0,Jonathan Papelbon,2,,.000,2,.000,0,8,0,Jonathan,18,2,,0,0,1,,0,.000,0,903,,0,55,,0,1.44,0,3,0,0,10,0,0,0,0,0,Phillies,0,.000,0,.000
,Kendrick,,,,,,,,,,Kyle Kendrick,,,,,,,,,Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Manship,,,,,,,,,,Jeff Manship,,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
3,Bastardo,0,0,0,P,0,3,0,0,0,Antonio Bastardo,4,,.000,1,.000,0,13,0,Antonio,0,1,,0,0,1,,0,.000,6,905,,0,54,,0,2.68,0,3,0,0,20,0,0,0,0,0,Phillies,0,.000,0,1.000
,Brignac,,,,,,,,,,Reid Brignac,,,,,,,,,Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Mayberry,,0,,LF,0,,0,0,2,John Mayberry,,,1.000,,.224,,,2,John,,,,,1,,,0,.782,,800,,0,,,0,,0,,0,,,0,0,2,0,0,Phillies,0,.449,0,.333
,Brown,,0,,PH-LF,1,,0,0,4,Domonic Brown,,,1.000,,.218,,,1,Domonic,,,,,2,,,0,.591,,801,,0,,,0,,0,,1,,,0,1,2,0,0,Phillies,0,.321,0,.270
,Hernandez,,0,,PH,0,,0,0,1,Cesar Hernandez,,,.000,,.250,,,0,Cesar,,,,,0,,,0,.615,,904,,0,,,0,,0,,0,,,0,0,1,0,0,Phillies,0,.313,0,.302
0,De Fratus,1,0,1,P,0,8,0,0,1,Justin De Fratus,2,,.000,1,.000,0,19,0,Justin,0,1,,0,0,2,,0,.000,1,909,,0,54,true,0,1.71,0,6,0,0,31,0,0,1,0,0,Phillies,0,.000,0,.000
2,Diekman,1,0,2,P,0,6,0,0,0,Jake Diekman,2,,.000,2,.000,0,12,0,Jake,0,1,,0,0,1,,0,.000,11,902,,0,50,,0,4.25,0,3,0,0,25,0,0,0,0,0,Phillies,0,.000,0,.000
,Revere,,0,,CF,1,,0,0,6,Ben Revere,,2,1.000,,.275,,,1,Ben,,,,,2,,,1,.628,,100,,0,,,0,,0,,3,,,0,1,0,0,0,Phillies,1,.332,0,.296
,Rupp,,,,,,,,,,Cameron Rupp,,,,,,,,,Cameron,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Rosenberg,,,,,,,,,,B.J. Rosenberg,,,,,,,,,B.J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
,Buchanan,,,,,,,,,,David Buchanan,,,,,,,,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
0,Giles,0,0,1,P,0,3,0,0,0,Ken Giles,0,,.000,0,.000,0,10,0,Ken,0,0,,0,0,1,,0,.000,0,906,,0,52,,0,1.29,0,3,0,0,16,0,0,0,0,0,Phillies,0,.000,0,.000
1,Hollands,1,0,0,P,0,4,0,0,0,Mario Hollands,1,,.000,0,.000,0,7,0,Mario,0,0,,0,0,1,,0,.000,3,908,,0,51,,0,2.20,0,3,0,0,7,0,0,0,0,0,Phillies,0,.000,0,.000
,Asche,,0,,3B,0,,0,0,6,Cody Asche,,1,1.000,,.268,,,4,Cody,,,,,1,,,0,.762,,600,,0,,,6,,0,,2,,,0,0,3,0,0,Phillies,0,.423,0,.339
,Gonzalez,,,,,,,,,,Miguel Alfredo Gonzalez,,,,,,,,,Miguel Alfredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillies,,,,
0,Gregg,0,0,0,P,0,3,0,0,0,Kevin Gregg,0,,.000,0,.000,0,8,0,Kevin,0,1,,0,0,1,,0,.000,3,904,,0,54,,0,4.15,0,3,0,0,12,0,0,0,0,0,Marlins,0,.000,0,.000
,Furcal,,,,,,,,,,Rafael Furcal,,,,,,,,,Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlins,,,,
,Johnson,,0,,PH,1,,0,0,1,Reed Johnson,,,.000,,.276,,,0,Reed,,,,,0,,,0,.730,,902,,0,,,0,,0,,0,,,0,0,0,0,0,Marlins,0,.429,0,.301
,Baker,,0,,1B,0,,0,0,3,Jeff Baker,,1,.800,,.202,,,1,Jeff,,,,,3,,,0,.578,,600,,1,,,1,,0,,0,,,0,0,2,0,0,Marlins,0,.317,0,.261
,Mathis,,,,,,,,,,Jeff Mathis,,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlins,,,,
,McGehee,,0,,3B,1,,0,0,5,Casey McGehee,,4,1.000,,.309,,,2,Casey,,,,,0,,,1,.762,,400,,0,,,3,,0,,1,,,0,0,0,0,0,Marlins,0,.389,0,.373
,Jones,,0,,PH-1B,0,,0,0,3,Garrett Jones,,1,1.000,,.255,,,0,Garrett,,,,,4,,,0,.761,,601,,0,,,1,,1,,1,,,0,0,1,0,0,Marlins,0,.438,0,.323
4,Dunn,0,0,0,P,0,3,0,0,0,Mike Dunn,5,,.000,1,.000,0,10,0,Mike,0,3,,0,0,1,,0,.000,13,903,,0,56,,0,3.60,0,3,0,0,13,0,0,0,0,0,Marlins,0,.000,0,.000
,Lucas,,0,,SS-LF,2,,0,0,6,Ed Lucas,,1,1.000,,.248,,,1,Ed,,,,,2,,,0,.575,,200,,0,,,3,,0,,1,,,0,0,2,0,0,Marlins,0,.283,0,.292
,Solano,,0,,2B-SS,2,,0,0,6,Donovan Solano,,2,1.000,,.193,,,2,Donovan,,,,,4,,,0,.466,,800,,0,,,3,,0,,1,,,0,0,1,0,0,Marlins,0,.246,0,.220
