inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Jhoulys Chacin,1,1,0,Jimmy Rollins,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,2,2,1,Shane Victorino,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,2,4,2,Chase Utley,['Chase Utley'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,3,0,0,Ryan Howard,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Cole Hamels,1,1,0,Eric Young Jr.,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Cole Hamels,2,2,3,Dexter Fowler,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Cole Hamels,3,1,1,Mark Ellis,['N/A'],['N/A'],['N/A'],Pop Out,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,1,1,1,Hunter Pence,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,1,4,1,Raul Ibanez,['Raul Ibanez'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,1,1,2,Placido Polanco,['Placido Polanco'],['Raul Ibanez'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,3,2,1,Carlos Ruiz,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Cole Hamels,1,0,0,Troy Tulowitzki,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Cole Hamels,1,0,1,Ty Wigginton,['Ty Wigginton'],['N/A'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],N/A,1,1,1,Chris Nelson,['N/A'],['Ty Wigginton'],['N/A'],Stolen Base 2B,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Cole Hamels,2,1,3,Chris Nelson,['N/A'],['Ty Wigginton'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
2,bottom,2,['Ty Wigginton'],Cole Hamels,2,2,1,Seth Smith,['N/A'],['N/A'],['N/A'],Home Run,N/A,2,0,2,N/A,N/A
2,bottom,0,[],Cole Hamels,3,1,0,Chris Iannetta,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,1,2,1,Cole Hamels,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,1,0,2,Jimmy Rollins,['Jimmy Rollins'],['N/A'],['N/A'],Hit By Pitch,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,2,3,1,Shane Victorino,['Shane Victorino'],['N/A'],['N/A'],Forceout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,3,1,1,Chase Utley,['N/A'],['N/A'],['N/A'],Double,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Cole Hamels,1,1,3,Jhoulys Chacin,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Cole Hamels,2,0,0,Eric Young Jr.,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Cole Hamels,3,1,0,Dexter Fowler,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
