inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Daniel McCutchen,1,2,3,Rickie Weeks,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
1,top,0,[],Daniel McCutchen,2,0,0,Carlos Gomez,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
1,top,0,[],Daniel McCutchen,3,3,2,Ryan Braun,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Randy Wolf,1,3,3,Akinori Iwamura,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Randy Wolf,2,3,1,Andrew McCutchen,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Randy Wolf,2,0,2,Lastings Milledge,['Lastings Milledge'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Randy Wolf,3,0,1,Garrett Jones,['N/A'],['N/A'],['N/A'],Runner Out,N/A,N/A,N/A,N/A,N/A,N/A
2,top,1,[],Daniel McCutchen,0,1,2,Prince Fielder,['N/A'],['N/A'],['N/A'],Home Run,N/A,0,1,1,N/A,N/A
2,top,0,[],Daniel McCutchen,1,1,0,Casey McGehee,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Daniel McCutchen,1,2,2,Jim Edmonds,['N/A'],['Jim Edmonds'],['N/A'],Double,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Daniel McCutchen,2,1,2,George Kottaras,['N/A'],['N/A'],['Jim Edmonds'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Daniel McCutchen,3,1,2,Alcides Escobar,['N/A'],['N/A'],['N/A'],Pop Out,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Randy Wolf,0,4,1,Garrett Jones,['Garrett Jones'],['N/A'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Randy Wolf,1,0,1,Ryan Church,['N/A'],['N/A'],['N/A'],Lineout,N/A,N/A,N/A,N/A,N/A,N/A
