p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Aurilia,,0,,PH,0,,0,0,1,Rich Aurilia,,1,.000,,.288,,,2,Rich,,,,,0,,,0,.759,,302,,0,,,0,,0,,0,,,0,0,0,0,0,Giants,0,.422,0,.337
,Vizquel,,0,,SS,0,,0,0,3,Omar Vizquel,,1,1.000,,.215,,,0,Omar,,,,,0,,,0,.537,,800,,0,,,2,,0,,2,,,0,0,0,0,0,Giants,0,.258,0,.279
,McClain,,0,,PH,1,,0,0,1,Scott McClain,,,.000,,.290,,,2,Scott,,,,,0,,,0,.849,,902,,0,,,0,,0,,0,,,0,0,0,0,0,Giants,0,.516,0,.333
,Winn,,0,,LF,1,,0,0,2,Randy Winn,,1,1.000,,.307,,,2,Randy,,,,,2,,,1,.787,,100,,0,,,0,,0,,0,,,0,0,0,0,0,Giants,0,.423,0,.364
,Molina,,0,,C,2,,0,0,3,Bengie Molina,,,1.000,,.292,,,1,Bengie,,,,,4,,,0,.762,,400,,0,,,0,,0,,1,,,0,0,0,0,1,Giants,0,.441,0,.321
,Roberts,,0,,LF,0,,0,0,0,Dave Roberts,,,.000,,.214,,,0,Dave,,,,,0,,,1,.603,,802,,0,,,0,,0,,0,,,0,0,0,0,0,Giants,0,.272,0,.331
,Zito,,,,,,,,,,Barry Zito,,,,,,,,,Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Rowand,,0,,CF,1,,0,0,3,Aaron Rowand,,,1.000,,.278,,,1,Aaron,,,,,2,,,0,.764,,600,,0,,,0,,0,,1,,,0,0,1,0,0,Giants,0,.418,0,.346
8,Walker,0,0,0,P,0,3,0,0,0,Tyler Walker,4,,.000,4,.000,0,6,0,Tyler,0,1,,0,0,1,,0,.000,19,301,,0,54,,0,4.67,0,3,0,0,11,0,0,0,0,0,Giants,0,.000,0,.000
,Valdez,,,,,,,,,,Merkin Valdez,,,,,,,,,Merkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
8,Correia,7,0,2,P,0,15,0,0,0,Kevin Correia,3,,.000,0,.111,7,35,0,Kevin,0,1,,2,0,2,,0,.254,0,903,,0,13,,0,6.05,0,6,0,7,57,0,0,0,0,0,Giants,0,.111,0,.143
,Lowry,,,,,,,,,,Noah Lowry,,,,,,,,,Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Ochoa,,0,,SS,0,,0,0,2,Ivan Ochoa,,2,1.000,,.203,,,2,Ivan,,,,,1,,,0,.519,,601,,0,,,1,,0,,0,,,0,0,0,0,0,Giants,0,.271,0,.248
,Cain,,,,,,,,,,Matt Cain,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Lewis,,,,,,,,,,Fred Lewis,,,,,,,,,Fred,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Yabu,,,,,,,,,,Keiichi Yabu,,,,,,,,,Keiichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Misch,,,,,,,,,,Pat Misch,,,,,,,,,Pat,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Frandsen,,,,,,,,,,Kevin Frandsen,,,,,,,,,Kevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Bowker,,0,,1B-LF-1B,1,,0,0,5,John Bowker,,1,1.000,,.255,,,2,John,,,,,3,,,0,.711,,700,,0,,,1,,1,,3,,,1,3,0,0,1,Giants,0,.410,0,.301
,Schierholtz,,0,,RF,1,,0,0,5,Nate Schierholtz,,1,1.000,,.317,,,1,Nate,,,,,4,,,0,.860,,500,,0,,,0,,3,,3,,,0,0,0,0,1,Giants,0,.492,0,.368
,Ishikawa,,,,,,,,,,Travis Ishikawa,,,,,,,,,Travis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Hinshaw,,,,,,,,,,Alex Hinshaw,,,,,,,,,Alex,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Wilson,,,,,,,,,,Brian Wilson,,,,,,,,,Brian,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
1,Sadler,1,0,0,P,0,4,0,0,0,Billy Sadler,0,,.000,0,.000,0,13,0,Billy,0,2,,0,0,1,,0,.000,1,801,,0,53,,0,4.15,0,3,0,0,19,0,0,0,0,0,Giants,0,.000,0,.000
,Lincecum,,,,,,,,,,Tim Lincecum,,,,,,,,,Tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Holm,,0,,C,1,,0,0,2,Steve Holm,,,1.000,,.262,,,0,Steve,,,,,4,,,0,.759,,401,,0,,,0,,1,,1,,,0,1,0,0,0,Giants,0,.405,0,.354
12,Sanchez,7,0,1,P,0,19,0,0,1,Jonathan Sanchez,9,1,1.000,0,.102,7,44,1,Jonathan,0,3,,1,0,3,1/3,0,.242,0,900,true,0,20,,1,5.01,0,10,0,7,74,0,0,0,0,1,Giants,0,.122,0,.120
0,Espineli,1,0,0,P,0,4,0,0,0,Geno Espineli,2,,1.000,0,.000,0,9,0,Geno,0,0,,0,1,1,,0,.000,0,303,,0,51,,0,5.06,0,3,0,0,14,0,0,0,0,0,Giants,0,.000,0,.000
,Velez,,0,,2B-CF,1,,0,0,5,Eugenio Velez,,,1.000,,.259,,,2,Eugenio,,,,,6,,,0,.684,,200,,0,,,1,,2,,3,,,0,2,1,0,1,Giants,0,.386,0,.298
,Sandoval,,0,,3B-1B,2,,0,0,4,Pablo Sandoval,,,.000,,.333,,,1,Pablo,,,,,0,,,0,.833,,300,,0,,,0,,0,,1,,,0,0,1,0,1,Giants,0,.486,0,.347
2,Matos,2,0,0,P,0,4,0,0,0,Osiris Matos,1,,.000,1,.000,1,11,0,Osiris,0,1,,0,0,0,2/3,0,.000,0,901,,0,45,,0,4.79,0,2,0,1,16,0,0,0,0,0,Giants,0,.000,0,.000
,Rohlinger,,0,,3B-2B,1,,0,0,2,Ryan Rohlinger,,2,.000,,.094,,,3,Ryan,,,,,0,,,0,.309,,101,,0,,,0,,0,,0,,,0,0,0,0,0,Giants,0,.188,0,.121
,Romo,,,,,,,,,,Sergio Romo,,,,,,,,,Sergio,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Burriss,,,,,,,,,,Emmanuel Burriss,,,,,,,,,Emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Gillaspie,,0,,PH-3B,1,,0,0,1,Conor Gillaspie,,,.000,,.250,,,2,Conor,,,,,0,,,1,.750,,904,,0,,,0,,0,,0,,,0,0,0,0,0,Giants,0,.250,0,.500
,Helton,,,,,,,,,,Todd Helton,,,,,,,,,Todd,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
11,Hernandez,12,1,2,P,0,33,0,0,3,Livan Hernandez,13,2,1.000,0,.263,5,67,0,Livan,0,3,,1,0,7,,0,.526,0,900,,0,34,true,1,6.05,0,21,2,5,113,0,1,0,0,0,Rockies,0,.263,0,.263
,Torrealba,,,,,,,,,,Yorvit Torrealba,,,,,,,,,Yorvit,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
4,Herges,1,0,0,P,0,4,0,0,0,Matt Herges,3,,.000,5,.000,0,11,0,Matt,0,0,,0,0,1,,0,.000,4,903,,0,51,,0,4.95,0,3,0,0,17,0,0,0,0,0,Rockies,0,.000,0,.000
,Grilli,,,,,,,,,,Jason Grilli,,,,,,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Podsednik,,0,,LF,1,,0,0,2,Scott Podsednik,,,1.000,,.253,,,0,Scott,,,,,4,,,0,.655,,301,,0,,,0,,0,,1,,,0,0,0,0,0,Rockies,0,.333,0,.322
,Cook,,,,,,,,,,Aaron Cook,,,,,,,,,Aaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Holliday,,0,,LF,1,,0,1,3,Matt Holliday,,1,1.000,,.321,,,2,Matt,,,,,3,,,0,.948,,300,,0,,,1,,1,,1,,,0,2,0,0,3,Rockies,1,.539,0,.409
,De La Rosa,,,,,,,,,,Jorge De La Rosa,,,,,,,,,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Hawpe,,,,,,,,,,Brad Hawpe,,,,,,,,,Brad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Atkins,,0,,1B,2,,0,0,6,Garrett Atkins,,,1.000,,.290,,,4,Garrett,,,,,6,,,0,.790,,400,,0,,,1,,0,,2,,,1,1,2,0,3,Rockies,0,.459,0,.331
,Barmes,,0,,2B-SS,1,,0,0,5,Clint Barmes,,,1.000,,.294,,,0,Clint,,,,,1,,,1,.795,,100,,0,,,5,,1,,4,,,1,4,0,0,4,Rockies,2,.469,0,.326
,Baker,,0,,3B,1,,0,0,4,Jeff Baker,,,1.000,,.268,,,1,Jeff,,,,,1,,,1,.790,,700,,0,,,2,,0,,2,,,1,3,1,0,1,Rockies,0,.468,0,.322
,Buchholz,,,,,,,,,,Taylor Buchholz,,,,,,,,,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Bellorin,,0,,C,0,,0,0,1,Edwin Bellorin,,,1.000,,.500,,,0,Edwin,,,,,1,,,0,1.000,,501,,0,,,0,,0,,1,,,0,0,0,0,0,Rockies,0,.500,0,.500
,Francis,,,,,,,,,,Jeff Francis,,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Jimenez,,,,,,,,,,Ubaldo Jimenez,,,,,,,,,Ubaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Speier,,,,,,,,,,Ryan Speier,,,,,,,,,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Quintanilla,,0,,2B,0,,0,0,1,Omar Quintanilla,,1,1.000,,.238,,,0,Omar,,,,,1,,,0,.636,,201,,0,,,0,,0,,0,,,0,0,0,0,0,Rockies,0,.348,0,.288
,Hirsh,,,,,,,,,,Jason Hirsh,,,,,,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Spilborghs,,0,,RF,2,,0,0,4,Ryan Spilborghs,,,.750,,.304,,,2,Ryan,,,,,3,,,1,.870,,600,,1,,,0,,0,,1,,,0,1,1,0,1,Rockies,0,.465,0,.405
,Fowler,,0,,CF,2,,0,0,5,Dexter Fowler,,2,1.000,,.190,,,2,Dexter,,,,,1,,,0,.417,,800,,0,,,0,,0,,1,,,0,1,0,0,0,Rockies,0,.190,0,.227
,Smith,,,,,,,,,,Seth Smith,,,,,,,,,Seth,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Tulowitzki,,0,,SS,2,,0,0,5,Troy Tulowitzki,,,1.000,,.262,,,3,Troy,,,,,3,,,0,.732,,200,,0,,,1,,0,,2,,,0,1,1,0,1,Rockies,0,.402,0,.330
,Reynolds,,,,,,,,,,Greg Reynolds,,,,,,,,,Greg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockies,,,,
,Iannetta,,0,,C,1,,0,0,4,Chris Iannetta,,,1.000,,.271,,,2,Chris,,,,,3,,,0,.915,,500,,0,,,0,,1,,1,,,0,1,2,0,2,Rockies,0,.520,0,.395
,Stewart,,0,,3B,0,,0,0,0,Ian Stewart,,,1.000,,.274,,,0,Ian,,,,,0,,,0,.843,,701,,0,,,1,,0,,0,,,0,0,0,0,0,Rockies,0,.480,0,.363
,Koshansky,,0,,PH,0,,0,0,1,Joe Koshansky,,,.000,,.194,,,0,Joe,,,,,0,,,0,.737,,901,,0,,,0,,0,,0,,,0,0,1,0,0,Rockies,0,.500,0,.237
