AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
2,2,6,3,2,67,13,8,62,Tobias,0,0,0,32,1,0,Tobias Harris,18,7,Harris,F,0,Detroit,2
2,0,4,3,2,67,12,5,42,Marcus,0,0,0,29,0,0,Marcus Morris,12,4,Morris,F,0,Detroit,1
2,1,11,0,0,0,9,6,67,Andre,4,2,50,28,3,1,Andre Drummond,14,14,Drummond,C,1,Detroit,3
0,0,5,8,5,63,20,9,45,Kentavious,0,0,0,30,3,1,Kentavious Caldwell-Pope,23,8,Caldwell-Pope,G,1,Detroit,0
13,0,5,3,1,33,10,5,50,Ish,0,0,0,29,0,1,Ish Smith,11,5,Smith,G,1,Detroit,1
2,0,6,5,4,80,6,5,83,Jon,3,2,67,31,3,1,Jon Leuer,16,9,Leuer,N/A,1,Detroit,5
0,0,0,0,0,0,0,0,0,Aron,2,2,100,16,0,4,Aron Baynes,2,0,Baynes,N/A,0,Detroit,1
3,0,2,0,0,0,6,5,83,Beno,1,1,100,16,0,1,Beno Udrih,11,2,Udrih,N/A,0,Detroit,1
2,0,1,5,3,60,8,4,50,Darrun,0,0,0,18,0,3,Darrun Hilliard,11,1,Hilliard,N/A,0,Detroit,1
0,0,0,2,0,0,3,0,0,Michael,0,0,0,4,0,1,Michael Gbinije,0,0,Gbinije,N/A,0,Detroit,0
2,0,2,0,0,0,1,0,0,Stanley,0,0,0,4,0,1,Stanley Johnson,0,2,Johnson,N/A,0,Detroit,0
0,0,1,0,0,0,1,1,100,Boban,2,1,50,4,1,1,Boban Marjanovic,3,2,Marjanovic,N/A,0,Detroit,0
1,0,1,3,1,33,11,3,27,Kent,0,0,0,18,1,0,Kent Bazemore,7,2,Bazemore,F,1,Atlanta,0
0,0,2,1,1,100,5,2,40,Thabo,0,0,0,17,0,0,Thabo Sefolosha,5,2,Sefolosha,F,1,Atlanta,0
0,2,5,0,0,0,4,1,25,Dwight,0,0,0,25,1,5,Dwight Howard,2,6,Howard,C,0,Atlanta,2
0,0,2,3,0,0,8,2,25,Kyle,4,3,75,34,0,0,Kyle Korver,7,2,Korver,G,1,Atlanta,0
11,0,2,2,1,50,13,7,54,Dennis,3,2,67,25,0,0,Dennis Schroder,17,2,Schroder,G,0,Atlanta,1
1,0,0,1,1,100,7,5,71,Mike,0,0,0,24,0,3,Mike Muscala,11,0,Muscala,N/A,2,Atlanta,1
3,0,1,0,0,0,4,2,50,Malcolm,5,4,80,19,0,2,Malcolm Delaney,8,1,Delaney,N/A,0,Atlanta,2
2,0,2,6,0,0,14,5,36,Tim,2,1,50,27,0,1,Tim Hardaway Jr.,11,2,Hardaway,N/A,1,Atlanta,0
0,0,2,2,1,50,12,3,25,Kris,4,3,75,19,3,0,Kris Humphries,10,5,Humphries,N/A,0,Atlanta,0
1,0,6,4,1,25,6,1,17,Taurean,2,2,100,17,0,0,Taurean Prince,5,6,Prince,N/A,0,Atlanta,0
3,0,2,2,0,0,4,1,25,Mike,0,0,0,12,1,1,Mike Scott,2,3,Scott,N/A,0,Atlanta,1
0,0,1,0,0,0,0,0,0,Ryan,0,0,0,4,0,0,Ryan Kelly,0,1,Kelly,N/A,0,Atlanta,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paul,N/A,N/A,N/A,N/A,N/A,N/A,Paul Millsap,N/A,N/A,Millsap,N/A,N/A,Atlanta,N/A
