p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Hawkins,,,,,,,,,,LaTroy Hawkins,,,,,,,,,LaTroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Hunter,,0,,RF,0,,0,0,5,Torii Hunter,,,1.000,,.300,,,1,Torii,,,,,2,,,0,.793,,200,,0,,,0,,1,,3,,,0,2,2,0,1,Angels,0,.443,0,.350
2,Isringhausen,1,0,1,P,0,5,0,0,0,Jason Isringhausen,3,,.000,4,.000,1,10,0,Jason,0,1,,0,0,1,,0,.000,4,,,0,49,,0,3.92,0,3,0,0,22,0,0,0,0,0,Angels,0,.000,0,.000
,Wells,,,,,,,,,,Vernon Wells,,,,,,,,,Vernon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
1,Downs,0,0,0,P,0,1,0,0,0,Scott Downs,1,,.000,3,.000,0,3,0,Scott,9,0,,0,0,0,1/3,0,.000,17,,,0,51,,0,2.55,0,1,0,0,3,0,0,0,0,0,Angels,0,.000,0,.000
,Pujols,,0,,1B,1,,0,0,5,Albert Pujols,,2,1.000,,.279,,,2,Albert,,,,,6,,,0,.864,,300,,0,,,1,,0,,2,,,1,2,0,0,2,Angels,0,.523,0,.341
7,Williams,0,0,0,P,0,1,0,0,0,Jerome Williams,6,,.000,0,.250,0,1,0,Jerome,1,0,,0,0,0,1/3,0,.750,0,,,0,51,,0,4.74,0,1,0,0,2,0,0,0,0,0,Angels,0,.500,0,.250
,Greinke,,,,,,,,,,Zack Greinke,,,,,,,,,Zack,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Haren,,,,,,,,,,Dan Haren,,,,,,,,,Dan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Santana,,,,,,,,,,Ervin Santana,,,,,,,,,Ervin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Izturis,,0,,PH,0,,0,0,1,Maicer Izturis,,1,.000,,.247,,,2,Maicer,,,,,0,,,0,.630,,901,,0,,,0,,0,,0,,,0,0,0,0,0,Angels,0,.319,0,.311
,Aybar,,0,,SS,0,,0,0,5,Erick Aybar,,2,1.000,,.273,,,2,Erick,,,,,1,,,0,.716,,800,,0,,,1,,0,,2,,,0,2,1,0,0,Angels,2,.405,0,.311
,Callaspo,,0,,3B,1,,0,0,4,Alberto Callaspo,,3,1.000,,.246,,,4,Alberto,,,,,1,,,1,.688,,700,,0,,,2,,0,,0,,,0,0,0,0,0,Angels,0,.356,0,.332
,Morales,,0,,DH,0,,0,0,4,Kendrys Morales,,2,.000,,.282,,,0,Kendrys,,,,,0,,,1,.779,,400,,0,,,0,,0,,2,,,0,0,0,0,1,Angels,0,.454,0,.325
,Kendrick,,0,,2B,0,,0,1,4,Howie Kendrick,,3,1.000,,.284,,,5,Howie,,,,,3,,,0,.716,,600,,0,,,2,,1,,1,,,0,0,1,0,0,Angels,0,.390,0,.326
,Wilson,,,,,,,,,,Bobby Wilson,,,,,,,,,Bobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Trumbo,,0,,LF,0,,0,0,5,Mark Trumbo,,1,1.000,,.287,,,1,Mark,,,,,5,,,0,.886,,500,,0,,,0,,0,,2,,,0,0,2,0,1,Angels,0,.548,0,.338
2,Jepsen,3,0,0,P,0,8,0,0,0,Kevin Jepsen,2,,.000,2,.000,2,22,0,Kevin,1,3,,1,0,1,2/3,0,.000,8,,true,0,44,,0,3.96,0,5,0,2,31,0,0,0,0,0,Angels,0,.000,0,.000
,Weaver,,,,,,,,,,Jered Weaver,,,,,,,,,Jered,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
9,Wilson,6,0,3,P,0,22,0,0,0,C.J. Wilson,9,,1.000,0,.000,7,53,0,C.J.,0,4,,1,0,4,2/3,0,.167,0,,,0,25,,2,3.62,0,14,0,7,90,0,0,0,0,0,Angels,0,.000,0,.167
,Iannetta,,0,,C,1,,0,0,4,Chris Iannetta,,2,1.000,,.204,,,2,Chris,,,,,8,,,0,.724,,900,,0,,,1,,0,,0,,,0,0,1,0,0,Angels,0,.398,0,.326
0,Frieri,0,0,0,P,0,3,0,0,0,Ernesto Frieri,2,,.000,1,.000,0,7,0,Ernesto,14,0,,0,0,1,,0,.000,7,,,0,53,,0,2.02,0,3,0,0,11,0,0,0,0,0,Angels,0,.000,0,.000
,Walden,,,,,,,,,,Jordan Walden,,,,,,,,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Bourjos,,0,,PR,0,,0,0,0,Peter Bourjos,,,.000,,.227,,,0,Peter,,,,,0,,,0,.612,,701,,0,,,0,,0,,0,,,0,0,0,0,0,Angels,0,.325,0,.287
,Moore,,,,,,,,,,Jeremy Moore,,,,,,,,,Jeremy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Takahashi,,,,,,,,,,Hisanori Takahashi,,,,,,,,,Hisanori,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Kohn,,,,,,,,,,Michael Kohn,,,,,,,,,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angels,,,,
,Trout,,0,,CF,0,,0,0,4,Mike Trout,,1,1.000,,.343,,,0,Mike,,,,,1,,,1,1.011,,100,,0,,,0,,0,,3,,,1,2,0,0,3,Angels,1,.604,0,.407
3,Farnsworth,1,0,1,P,0,5,0,0,0,Kyle Farnsworth,1,,.000,0,.000,0,12,0,Kyle,0,1,,0,0,1,,0,.000,4,,,0,51,,0,3.68,0,3,0,0,21,0,0,0,0,0,Rays,0,.000,0,.000
,Molina,,,,,,,,,,Jose Molina,,,,,,,,,Jose,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Pena,,0,,PH-1B,0,,0,0,1,Carlos Pena,,,1.000,,.193,,,0,Carlos,,,,,3,,,0,.673,,601,,0,,,0,,0,,1,,,1,1,0,0,2,Rays,0,.350,0,.323
2,Rodney,0,0,1,P,0,5,0,0,0,Fernando Rodney,2,,.000,2,.000,0,11,0,Fernando,38,1,true,0,0,1,,0,.000,0,,,0,53,,0,0.79,0,3,0,0,20,0,0,0,0,0,Rays,0,.000,0,.000
4,Peralta,0,0,0,P,0,3,0,0,0,Joel Peralta,1,,.000,3,.000,0,8,0,Joel,2,1,,0,0,1,,0,.000,30,,,0,54,,0,3.35,0,3,0,0,12,0,0,0,0,0,Rays,0,.000,0,.000
,Upton,,0,,CF,0,,1,0,5,Melvin Upton,,1,.000,,.249,,,3,Melvin,,,,,0,,,0,.722,,200,,0,,,0,,0,,1,,,0,0,3,0,0,Rays,0,.418,0,.304
,Scott,,,,,,,,,,Luke Scott,,,,,,,,,Luke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Keppinger,,0,,1B-3B,1,,0,0,4,Jeff Keppinger,,1,1.000,,.319,,,1,Jeff,,,,,11,,,0,.811,,500,,0,,,0,,0,,1,,,0,1,1,0,0,Rays,0,.440,0,.371
0,Howell,0,0,1,P,0,4,0,0,0,J.P. Howell,1,,1.000,0,.000,0,11,0,J.P.,0,2,,0,0,1,,0,.000,2,,,0,54,,1,2.68,0,3,0,0,17,0,0,0,0,0,Rays,0,.000,0,.000
,Niemann,,,,,,,,,,Jeff Niemann,,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Roberts,,0,,2B,1,,0,0,4,Ryan Roberts,,1,1.000,,.243,,,1,Ryan,,,,,3,,,0,.660,,700,,0,,,6,,1,,2,,,0,2,0,0,0,Rays,0,.349,0,.311
,Longoria,,0,,DH,1,,0,0,4,Evan Longoria,,1,.000,,.301,,,0,Evan,,,,,0,,,1,.897,,400,,0,,,0,,0,,1,,,1,1,1,0,2,Rays,0,.512,0,.385
,Guyer,,,,,,,,,,Brandon Guyer,,,,,,,,,Brandon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Rodriguez,,0,,3B,2,,0,0,3,Sean Rodriguez,,,1.000,,.215,,,1,Sean,,,,,1,,,0,.606,,600,,0,,,5,,0,,1,,,0,1,0,0,0,Rays,0,.329,0,.277
,Lobaton,,0,,C,2,,0,0,2,Jose Lobaton,,,1.000,,.225,,,0,Jose,,,,,7,,,1,.633,,800,,0,,,0,,0,,0,,,0,1,1,0,1,Rays,0,.304,1,.329
,Shields,,,,,,,,,,James Shields,,,,,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Zobrist,,0,,SS,2,,0,0,5,Ben Zobrist,,1,1.000,,.262,,,0,Ben,,,,,1,,,0,.833,,300,,0,,,5,,1,,1,,,0,1,1,0,3,Rays,0,.460,0,.373
,Davis,,,,,,,,,,Wade Davis,,,,,,,,,Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Fuld,,0,,RF,0,,0,0,3,Sam Fuld,,1,1.000,,.304,,,0,Sam,,,,,1,,,1,.738,,900,,0,,,0,,0,,2,,,0,1,0,0,1,Rays,0,.391,0,.347
,Chirinos,,,,,,,,,,Robinson Chirinos,,,,,,,,,Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Price,,,,,,,,,,David Price,,,,,,,,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Jennings,,0,,LF,2,,0,0,4,Desmond Jennings,,1,.000,,.249,,,2,Desmond,,,,,0,,,1,.700,,100,,0,,,0,,0,,0,,,0,1,1,0,1,Rays,0,.385,0,.315
2,McGee,0,0,0,P,0,3,0,0,0,Jake McGee,4,,.000,2,.000,0,5,0,Jake,0,0,,0,0,1,,0,.000,12,,,0,53,true,0,2.43,0,3,0,0,5,0,0,0,0,0,Rays,0,.000,0,.000
,Joyce,,,,,,,,,,Matt Joyce,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Johnson,,,,,,,,,,Elliot Johnson,,,,,,,,,Elliot,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Hellickson,,,,,,,,,,Jeremy Hellickson,,,,,,,,,Jeremy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
2,Badenhop,2,0,0,P,0,6,0,0,0,Burke Badenhop,1,,.000,0,.000,0,14,0,Burke,0,1,,0,0,1,1/3,0,.000,5,,,0,51,,0,3.23,0,4,0,0,24,0,0,0,0,0,Rays,0,.000,0,.000
8,Cobb,12,0,0,P,0,19,0,0,0,Alex Cobb,7,,.000,0,.000,8,41,0,Alex,0,1,,2,0,2,2/3,0,.000,0,,,0,3,,0,4.74,0,8,0,8,59,0,0,0,0,0,Rays,0,.000,0,.000
,Moore,,,,,,,,,,Matt Moore,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
