inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,1,[],Nick Martinez,0,2,1,Brian Dozier,['N/A'],['N/A'],['N/A'],Home Run,N/A,0,1,1,N/A,N/A
1,top,0,[],Nick Martinez,1,2,1,Eddie Rosario,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,1,N/A,N/A,N/A
1,top,0,[],Nick Martinez,2,1,1,Joe Mauer,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,1,N/A,N/A,N/A
1,top,0,[],Nick Martinez,2,4,2,Trevor Plouffe,['Trevor Plouffe'],['N/A'],['N/A'],Walk,N/A,0,1,N/A,N/A,N/A
1,top,1,['Trevor Plouffe'],Nick Martinez,2,1,0,Eduardo Nunez,['N/A'],['Eduardo Nunez'],['N/A'],Double,N/A,0,2,1,N/A,N/A
1,top,0,[],Nick Martinez,3,0,3,Kurt Suzuki,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,2,N/A,N/A,N/A
1,bottom,0,[],Phil Hughes,1,2,1,Delino DeShields,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,2,N/A,N/A,N/A
1,bottom,0,[],Phil Hughes,2,2,1,Shin-Soo Choo,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,2,N/A,N/A,N/A
1,bottom,0,[],Phil Hughes,2,4,0,Prince Fielder,['Prince Fielder'],['N/A'],['N/A'],Walk,N/A,0,2,N/A,N/A,N/A
1,bottom,0,[],Phil Hughes,3,1,2,Mitch Moreland,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,2,N/A,N/A,N/A
2,top,0,[],Nick Martinez,1,0,0,Shane Robinson,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,2,N/A,N/A,N/A
2,top,0,[],Nick Martinez,2,0,1,Eduardo Escobar,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,2,N/A,N/A,N/A
2,top,0,[],Nick Martinez,3,1,3,Byron Buxton,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,2,N/A,N/A,N/A
2,bottom,1,[],Phil Hughes,0,2,0,Joey Gallo,['N/A'],['N/A'],['N/A'],Home Run,N/A,1,2,1,N/A,N/A
2,bottom,0,[],Phil Hughes,1,3,1,Elvis Andrus,['N/A'],['N/A'],['N/A'],Groundout,N/A,1,2,N/A,N/A,N/A
2,bottom,1,[],Phil Hughes,1,0,1,Leonys Martin,['N/A'],['N/A'],['N/A'],Home Run,N/A,2,2,1,N/A,N/A
2,bottom,0,[],Phil Hughes,1,0,1,Robinson Chirinos,['Robinson Chirinos'],['N/A'],['N/A'],Single,N/A,2,2,N/A,N/A,N/A
