AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
2,0,3,3,2,67,7,2,29,PJ,0,0,0,32,0,5,PJ Tucker,6,3,Tucker,F,5,Phoenix,1
1,0,6,4,1,25,19,8,42,Markieff,3,1,33,37,2,1,Markieff Morris,18,8,Morris,F,0,Phoenix,3
1,1,3,0,0,0,3,2,67,Alex,1,1,100,9,1,2,Alex Len,5,4,Len,C,2,Phoenix,2
5,0,2,3,1,33,11,4,36,Goran,0,0,0,33,1,1,Goran Dragic,9,3,Dragic,G,0,Phoenix,1
4,0,4,2,1,50,10,5,50,Eric,7,6,86,35,3,2,Eric Bledsoe,17,7,Bledsoe,G,0,Phoenix,6
0,0,3,0,0,0,3,1,33,Brandan,0,0,0,16,0,2,Brandan Wright,2,3,Wright,N/A,0,Phoenix,0
4,0,2,2,0,0,9,2,22,Isaiah,2,2,100,23,0,2,Isaiah Thomas,6,2,Thomas,N/A,1,Phoenix,2
1,0,4,6,1,17,11,4,36,Gerald,0,0,0,17,0,1,Gerald Green,9,4,Green,N/A,0,Phoenix,0
2,0,2,2,0,0,8,4,50,Marcus,0,0,0,15,2,3,Marcus Morris,8,4,Morris,N/A,0,Phoenix,0
0,1,2,0,0,0,4,0,0,Miles,2,1,50,17,2,1,Miles Plumlee,1,4,Plumlee,N/A,2,Phoenix,0
0,0,0,1,0,0,2,1,50,Zoran,0,0,0,2,0,0,Zoran Dragic,2,0,Dragic,N/A,0,Phoenix,0
0,0,0,0,0,0,0,0,0,Reggie,0,0,0,2,0,0,Reggie Bullock,0,0,Bullock,N/A,0,Phoenix,0
0,0,0,0,0,0,1,1,100,Archie,2,2,100,2,0,1,Archie Goodwin,4,0,Goodwin,N/A,1,Phoenix,1
7,0,3,6,2,33,13,6,46,Nicolas,6,6,100,36,1,1,Nicolas Batum,20,4,Batum,F,1,Portland,2
1,2,10,2,0,0,18,7,39,LaMarcus,6,5,83,35,3,3,LaMarcus Aldridge,19,13,Aldridge,F,1,Portland,4
0,4,6,0,0,0,10,5,50,Robin,2,1,50,31,6,3,Robin Lopez,11,12,Lopez,C,0,Portland,1
3,0,8,8,2,25,15,5,33,Wesley,2,2,100,32,0,1,Wesley Matthews,14,8,Matthews,G,0,Portland,1
3,1,3,5,0,0,15,6,40,Damian,2,1,50,33,1,0,Damian Lillard,13,4,Lillard,G,2,Portland,2
0,0,6,1,0,0,5,3,60,Meyers,2,2,100,24,2,1,Meyers Leonard,8,8,Leonard,N/A,0,Portland,2
4,0,3,3,1,33,5,2,40,Steve,0,0,0,23,0,2,Steve Blake,5,3,Blake,N/A,2,Portland,0
2,0,4,4,1,25,7,4,57,CJ,3,3,100,20,0,1,CJ McCollum,12,4,McCollum,N/A,1,Portland,1
1,0,0,1,1,100,1,1,100,Will,0,0,0,2,0,0,Will Barton,3,0,Barton,N/A,0,Portland,1
0,0,1,0,0,0,0,0,0,Allen,0,0,0,2,0,1,Allen Crabbe,0,1,Crabbe,N/A,0,Portland,0
0,0,0,0,0,0,0,0,0,Thomas,0,0,0,2,0,1,Thomas Robinson,0,0,Robinson,N/A,0,Portland,0
0,0,0,1,1,100,1,1,100,Victor,0,0,0,2,0,0,Victor Claver,3,0,Claver,N/A,0,Portland,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dorell,N/A,N/A,N/A,N/A,N/A,N/A,Dorell Wright,N/A,N/A,Wright,N/A,N/A,Portland,N/A
