inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Brad Bergesen,1,1,0,Juan Pierre,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
1,top,0,[],Brad Bergesen,2,2,3,Brent Lillibridge,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
1,top,0,[],Brad Bergesen,2,1,0,Paul Konerko,['Paul Konerko'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
1,top,0,[],Brad Bergesen,3,2,1,Carlos Quentin,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],John Danks,0,3,2,Brian Roberts,['Brian Roberts'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],John Danks,0,1,1,Nick Markakis,['Nick Markakis'],['Brian Roberts'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,1,['Brian Roberts'],John Danks,0,0,0,Ty Wigginton,['Ty Wigginton'],['Nick Markakis'],['N/A'],Single,N/A,1,0,1,N/A,N/A
1,bottom,0,[],John Danks,1,1,3,Luke Scott,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],John Danks,2,1,2,Adam Jones,['N/A'],['N/A'],['Nick Markakis'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],John Danks,3,2,2,Julio Lugo,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Brad Bergesen,1,2,1,Mark Kotsay,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Brad Bergesen,1,1,2,Alexei Ramirez,['Alexei Ramirez'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Brad Bergesen,3,0,3,A.J. Pierzynski,['N/A'],['N/A'],['N/A'],Batter Interference,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],John Danks,1,2,1,Matt Wieters,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],John Danks,2,1,2,Felix Pie,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],John Danks,3,1,1,Josh Bell,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
3,top,0,[],Brad Bergesen,1,2,3,Dayan Viciedo,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
3,top,1,[],Brad Bergesen,1,2,1,Gordon Beckham,['N/A'],['N/A'],['N/A'],Home Run,N/A,1,1,1,N/A,N/A
3,top,0,[],Brad Bergesen,2,2,3,Juan Pierre,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
3,top,0,[],Brad Bergesen,3,0,0,Brent Lillibridge,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
