p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Lackey,,,,,,,,,,John Lackey,,,,,,,,,John,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Rondon,,,,,,,,,,Hector Rondon,,,,,,,,,Hector,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Jay,,,,,,,,,,Jon Jay,,,,,,,,,Jon,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Zobrist,,0,,2B-LF,2,,0,0,4,Ben Zobrist,,,1.000,,.252,,,0,Ben,,,,,4,,,0,.781,,100,,0,,,3,,0,,1,,,0,0,1,0,0,Cubs,0,.437,0,.344
,Davis,,,,,,,,,,Wade Davis,,,,,,,,,Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
2,Lester,4,0,0,P,0,29,0,0,3,Jon Lester,3,1,1.000,0,.095,1,70,0,Jon,0,10,,0,0,9,,0,.273,0,900,,0,93,true,1,3.19,0,27,0,1,99,0,0,2,0,0,Cubs,0,.143,0,.130
,Arrieta,,,,,,,,,,Jake Arrieta,,,,,,,,,Jake,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Strop,,,,,,,,,,Pedro Strop,,,,,,,,,Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Montero,,,,,,,,,,Miguel Montero,,,,,,,,,Miguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Duensing,,,,,,,,,,Brian Duensing,,,,,,,,,Brian,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Uehara,,,,,,,,,,Koji Uehara,,,,,,,,,Koji,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Heyward,,0,,RF,1,,0,0,3,Jason Heyward,,,1.000,,.257,,,0,Jason,,,,,1,,,0,.735,,600,,0,,,0,,0,,1,,,1,1,1,0,1,Cubs,0,.394,0,.341
,Rizzo,,0,,1B,1,,0,0,3,Anthony Rizzo,,1,1.000,,.224,,,1,Anthony,,,,,8,,,0,.787,,400,,0,,,0,,0,,1,,,1,1,0,0,2,Cubs,0,.424,0,.363
,Hendricks,,,,,,,,,,Kyle Hendricks,,,,,,,,,Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Montgomery,,,,,,,,,,Mike Montgomery,,,,,,,,,Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Almora,,,,,,,,,,Albert Almora,,,,,,,,,Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Pena,,,,,,,,,,Felix Pena,,,,,,,,,Felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Butler,,,,,,,,,,Eddie Butler,,,,,,,,,Eddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Contreras,,0,,C,1,,0,0,3,Willson Contreras,,,1.000,,.242,,,0,Willson,,,,,10,,,0,.696,,700,,0,,,3,,0,,0,,,0,0,2,0,0,Cubs,0,.398,0,.298
,Bryant,,0,,3B,0,,0,0,2,Kris Bryant,,,1.000,,.298,,,0,Kris,,,,,0,,,1,.977,,300,,0,,,2,,0,,1,,,0,1,1,0,0,Cubs,0,.571,0,.406
,Baez,,0,,2B,0,,0,0,0,Javier Baez,,,.000,,.264,,,0,Javier,,,,,0,,,0,.797,,201,,0,,,0,,0,,0,,,0,0,0,0,0,Cubs,0,.496,0,.301
,Edwards,,,,,,,,,,Carl Edwards,,,,,,,,,Carl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubs,,,,
,Russell,,0,,SS,1,,0,0,3,Addison Russell,,2,1.000,,.212,,,0,Addison,,,,,0,,,0,.622,,800,,0,,,1,,0,,0,,,0,0,0,0,0,Cubs,0,.346,0,.276
,Schwarber,,0,,LF,0,,0,0,4,Kyle Schwarber,,1,.000,,.179,,,0,Kyle,,,,,0,,,0,.660,,200,,0,,,0,,0,,1,,,1,1,2,0,1,Cubs,0,.359,0,.301
,Happ,,0,,CF,0,,0,0,3,Ian Happ,,2,1.000,,.323,,,1,Ian,,,,,4,,,0,1.127,,500,,0,,,0,,0,,0,,,0,0,1,0,0,Cubs,0,.710,0,.417
,Cain,,,,,,,,,,Matt Cain,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
,Morse,,0,,PH,0,,0,0,1,Michael Morse,,,.000,,.194,,,0,Michael,,,,,0,,,0,.535,,903,,0,,,0,,0,,0,,,0,0,1,0,0,Giants,0,.323,0,.212
,Ruggiano,,0,,RF,1,,0,0,3,Justin Ruggiano,,,1.000,,.244,,,1,Justin,,,,,2,,,0,.688,,500,,0,,,0,,0,,1,,,0,0,1,0,0,Giants,0,.415,0,.273
,Span,,,,,,,,,,Denard Span,,,,,,,,,Denard,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,,,,
