inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Henderson Alvarez,1,1,0,Desmond Jennings,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Henderson Alvarez,2,1,0,Melvin Upton,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Henderson Alvarez,3,3,1,Ben Zobrist,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jeff Niemann,1,2,3,Rajai Davis,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jeff Niemann,2,0,0,Colby Rasmus,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Jeff Niemann,3,3,2,Edwin Encarnacion,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Henderson Alvarez,0,4,1,Evan Longoria,['Evan Longoria'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Henderson Alvarez,1,2,3,Matt Joyce,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Henderson Alvarez,3,0,0,Jeff Keppinger,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Jeff Niemann,1,3,2,Adam Lind,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Jeff Niemann,2,3,3,Yorvit Torrealba,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Jeff Niemann,3,1,3,Kelly Johnson,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
3,top,0,[],Henderson Alvarez,1,3,1,Carlos Pena,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
3,top,1,[],Henderson Alvarez,1,0,2,Ryan Roberts,['N/A'],['N/A'],['N/A'],Home Run,N/A,0,1,1,N/A,N/A
3,top,0,[],Henderson Alvarez,1,4,2,Jose Lobaton,['Jose Lobaton'],['N/A'],['N/A'],Walk,N/A,0,1,N/A,N/A,N/A
3,top,0,[],Henderson Alvarez,1,1,1,Desmond Jennings,['Desmond Jennings'],['Jose Lobaton'],['N/A'],Single,N/A,0,1,N/A,N/A,N/A
3,top,0,[],Henderson Alvarez,2,0,2,Melvin Upton,['Melvin Upton'],['N/A'],['Jose Lobaton'],Forceout,N/A,0,1,N/A,N/A,N/A
3,top,1,['Jose Lobaton'],Henderson Alvarez,2,1,1,Ben Zobrist,['N/A'],['Ben Zobrist'],['Melvin Upton'],Double,N/A,0,2,1,N/A,N/A
3,top,0,[],Henderson Alvarez,2,4,0,Evan Longoria,['Evan Longoria'],['N/A'],['N/A'],Walk,N/A,0,2,N/A,N/A,N/A
3,top,2,"['Melvin Upton', 'Ben Zobrist']",Henderson Alvarez,2,0,1,Matt Joyce,['N/A'],['Matt Joyce'],['Evan Longoria'],Double,N/A,0,4,2,N/A,N/A
3,top,0,[],Henderson Alvarez,3,3,2,Jeff Keppinger,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,4,N/A,N/A,N/A
3,bottom,0,[],Jeff Niemann,1,2,3,Moises Sierra,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,4,N/A,N/A,N/A
3,bottom,0,[],Jeff Niemann,1,0,1,Omar Vizquel,['Omar Vizquel'],['N/A'],['N/A'],Single,N/A,0,4,N/A,N/A,N/A
3,bottom,0,[],Jeff Niemann,3,0,0,Adeiny Hechavarria,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,0,4,N/A,N/A,N/A
4,top,0,[],Henderson Alvarez,1,0,0,Carlos Pena,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,4,N/A,N/A,N/A
4,top,0,[],Henderson Alvarez,2,2,1,Ryan Roberts,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,4,N/A,N/A,N/A
4,top,0,[],Henderson Alvarez,3,3,3,Jose Lobaton,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,4,N/A,N/A,N/A
4,bottom,0,[],Jeff Niemann,1,2,2,Rajai Davis,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,4,N/A,N/A,N/A
4,bottom,0,[],J.P. Howell,1,4,1,Colby Rasmus,['Colby Rasmus'],['N/A'],['N/A'],Walk,N/A,0,4,N/A,N/A,N/A
4,bottom,2,['Colby Rasmus'],J.P. Howell,1,3,2,Edwin Encarnacion,['N/A'],['N/A'],['N/A'],Home Run,N/A,2,4,2,N/A,N/A
4,bottom,0,[],J.P. Howell,2,1,0,Adam Lind,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,4,N/A,N/A,N/A
4,bottom,0,[],J.P. Howell,2,2,2,Yorvit Torrealba,['Yorvit Torrealba'],['N/A'],['N/A'],Single,N/A,2,4,N/A,N/A,N/A
4,bottom,0,[],J.P. Howell,2,4,0,Kelly Johnson,['Kelly Johnson'],['Yorvit Torrealba'],['N/A'],Walk,N/A,2,4,N/A,N/A,N/A
4,bottom,0,[],Wade Davis,3,1,2,Moises Sierra,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,4,N/A,N/A,N/A
5,top,0,[],Henderson Alvarez,1,1,1,Desmond Jennings,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,4,N/A,N/A,N/A
5,top,0,[],Henderson Alvarez,1,1,2,Melvin Upton,['N/A'],['Melvin Upton'],['N/A'],Double,N/A,2,4,N/A,N/A,N/A
5,top,0,[],Henderson Alvarez,1,4,1,Ben Zobrist,['Ben Zobrist'],['N/A'],['N/A'],Walk,N/A,2,4,N/A,N/A,N/A
5,top,0,[],Henderson Alvarez,3,0,2,Evan Longoria,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,2,4,N/A,N/A,N/A
5,bottom,0,[],Wade Davis,1,2,1,Omar Vizquel,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,4,N/A,N/A,N/A
5,bottom,0,[],Wade Davis,2,0,1,Adeiny Hechavarria,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,4,N/A,N/A,N/A
5,bottom,0,[],Wade Davis,2,4,2,Rajai Davis,['Rajai Davis'],['N/A'],['N/A'],Walk,N/A,2,4,N/A,N/A,N/A
5,bottom,0,[],N/A,2,2,2,Colby Rasmus,['N/A'],['Rajai Davis'],['N/A'],Stolen Base 2B,N/A,2,4,N/A,N/A,N/A
5,bottom,0,[],Wade Davis,2,4,2,Colby Rasmus,['Colby Rasmus'],['Rajai Davis'],['N/A'],Walk,N/A,2,4,N/A,N/A,N/A
5,bottom,0,[],Wade Davis,3,2,1,Edwin Encarnacion,['N/A'],['N/A'],['N/A'],Runner Out,N/A,2,4,N/A,N/A,N/A
6,top,0,[],Aaron Loup,1,0,2,Matt Joyce,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,4,N/A,N/A,N/A
6,top,0,[],Aaron Loup,1,1,0,Jeff Keppinger,['Jeff Keppinger'],['N/A'],['N/A'],Single,N/A,2,4,N/A,N/A,N/A
6,top,0,[],Aaron Loup,2,2,3,Carlos Pena,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,4,N/A,N/A,N/A
6,top,0,[],Aaron Loup,3,3,2,Ryan Roberts,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,4,N/A,N/A,N/A
6,bottom,0,[],Wade Davis,1,0,0,Edwin Encarnacion,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,4,N/A,N/A,N/A
