p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Werth,,0,,RF,2,,0,0,3,Jayson Werth,,2,1.000,,.322,,,0,Jayson,,,,,1,,,0,.929,,400,,0,,,1,,0,,0,,,0,0,0,0,1,Nationals,0,.530,1,.399
,Soriano,,,,,,,,,,Rafael Soriano,,,,,,,,,Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
,LaRoche,,0,,1B,1,,0,0,4,Adam LaRoche,,2,1.000,,.233,,,3,Adam,,,,,8,,,0,.722,,600,,0,,,0,,0,,0,,,0,0,1,0,0,Nationals,0,.404,0,.318
,Tracy,,0,,PH,0,,0,0,1,Chad Tracy,,,.000,,.195,,,0,Chad,,,,,0,,,0,.526,,205,,0,,,0,,0,,1,,,0,0,0,0,0,Nationals,0,.305,0,.221
12,Haren,9,0,0,P,0,16,0,0,0,Dan Haren,8,,.000,0,.179,7,41,0,Dan,1,3,,0,0,2,2/3,0,.476,0,900,true,0,15,,0,5.02,0,8,0,7,57,0,0,0,0,0,Nationals,0,.256,0,.220
,Hairston,,,,,,,,,,Scott Hairston,,,,,,,,,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
,Desmond,,0,,SS,1,,0,0,4,Ian Desmond,,1,1.000,,.285,,,0,Ian,,,,,1,,,0,.817,,500,,0,,,3,,1,,2,,,0,0,0,0,1,Nationals,0,.481,0,.336
,Detwiler,,,,,,,,,,Ross Detwiler,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
,Garcia,,,,,,,,,,Christian Garcia,,,,,,,,,Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
,Span,,0,,CF,0,,0,0,5,Denard Span,,2,1.000,,.274,,,1,Denard,,,,,1,,,0,.701,,100,,0,,,0,,0,,3,,,0,1,0,0,1,Nationals,0,.376,0,.325
,Ohlendorf,,,,,,,,,,Ross Ohlendorf,,,,,,,,,Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
1,Mattheus,4,0,1,P,0,8,0,0,0,Ryan Mattheus,0,,.000,2,.000,3,13,0,Ryan,0,0,,0,0,1,,0,.000,5,203,,0,32,,0,7.27,0,3,0,3,18,0,0,0,0,0,Nationals,0,.000,0,.000
,Clippard,,,,,,,,,,Tyler Clippard,,,,,,,,,Tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
,Gonzalez,,,,,,,,,,Gio Gonzalez,,,,,,,,,Gio,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nationals,,,,
,Ramos,,0,,C,2,,0,0,3,Wilson Ramos,,1,1.000,,.274,,,0,Wilson,,,,,10,,,0,.761,,700,,0,,,0,,0,,0,,,0,0,0,0,0,Nationals,0,.457,0,.304
