inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Carl Pavano,1,0,3,Carlos Gonzalez,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
1,top,0,[],Carl Pavano,2,3,2,Todd Helton,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
1,top,1,[],Carl Pavano,2,1,0,Troy Tulowitzki,['N/A'],['N/A'],['N/A'],Home Run,N/A,0,1,1,N/A,N/A
1,top,0,[],Carl Pavano,3,1,3,Jason Giambi,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Aaron Cook,1,1,2,Denard Span,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Aaron Cook,1,4,1,Matt Tolbert,['Matt Tolbert'],['N/A'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
1,bottom,0,[],Aaron Cook,3,2,2,Joe Mauer,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Carl Pavano,1,1,0,Ryan Spilborghs,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Carl Pavano,2,3,1,Seth Smith,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,top,0,[],Carl Pavano,3,0,1,Miguel Olivo,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Aaron Cook,1,0,1,Justin Morneau,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Aaron Cook,1,3,2,Michael Cuddyer,['Michael Cuddyer'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Aaron Cook,2,1,1,Jason Kubel,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Aaron Cook,2,0,0,Delmon Young,['Delmon Young'],['N/A'],['Michael Cuddyer'],Single,N/A,N/A,N/A,N/A,N/A,N/A
2,bottom,0,[],Aaron Cook,3,2,1,Danny Valencia,['N/A'],['N/A'],['N/A'],Forceout,N/A,N/A,N/A,N/A,N/A,N/A
3,top,0,[],Carl Pavano,1,1,0,Ian Stewart,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
3,top,0,[],Carl Pavano,1,4,0,Clint Barmes,['Clint Barmes'],['N/A'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
3,top,1,['Clint Barmes'],Carl Pavano,1,1,2,Carlos Gonzalez,['N/A'],['N/A'],['Carlos Gonzalez'],Triple,N/A,0,2,1,N/A,N/A
3,top,0,[],Carl Pavano,2,0,1,Todd Helton,['N/A'],['N/A'],['N/A'],Pop Out,N/A,N/A,N/A,N/A,N/A,N/A
3,top,0,[],Carl Pavano,3,1,1,Troy Tulowitzki,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
3,bottom,0,[],Aaron Cook,0,3,2,Nick Punto,['Nick Punto'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
3,bottom,0,[],Aaron Cook,1,1,0,Denard Span,['Denard Span'],['N/A'],['N/A'],Forceout,N/A,N/A,N/A,N/A,N/A,N/A
3,bottom,0,[],Aaron Cook,3,2,1,Matt Tolbert,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,N/A,N/A,N/A,N/A,N/A
4,top,0,[],Carl Pavano,1,0,0,Jason Giambi,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
4,top,0,[],Carl Pavano,2,1,1,Ryan Spilborghs,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
4,top,0,[],Carl Pavano,3,3,1,Seth Smith,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
4,bottom,0,[],Aaron Cook,0,0,1,Joe Mauer,['Joe Mauer'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
4,bottom,0,[],Aaron Cook,0,4,1,Justin Morneau,['Justin Morneau'],['Joe Mauer'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
4,bottom,1,['Joe Mauer'],Aaron Cook,0,2,0,Michael Cuddyer,['N/A'],['Michael Cuddyer'],['Justin Morneau'],Double,N/A,1,2,1,N/A,N/A
4,bottom,0,[],Aaron Cook,1,0,0,Jason Kubel,['Jason Kubel'],['N/A'],['Michael Cuddyer'],Fielders Choice Out,N/A,N/A,N/A,N/A,N/A,N/A
4,bottom,1,['Michael Cuddyer'],Aaron Cook,1,2,2,Delmon Young,['Delmon Young'],['Jason Kubel'],['N/A'],Single,N/A,2,2,1,N/A,N/A
4,bottom,0,[],Aaron Cook,1,0,1,Danny Valencia,['Danny Valencia'],['Delmon Young'],['Jason Kubel'],Single,N/A,N/A,N/A,N/A,N/A,N/A
4,bottom,2,"['Jason Kubel', 'Delmon Young']",Aaron Cook,1,0,0,Nick Punto,['Nick Punto'],['N/A'],['Danny Valencia'],Single,N/A,4,2,2,N/A,N/A
4,bottom,1,['Danny Valencia'],Aaron Cook,1,1,0,Denard Span,['Denard Span'],['N/A'],['Nick Punto'],Single,N/A,5,2,1,N/A,N/A
4,bottom,0,[],Aaron Cook,1,4,0,Matt Tolbert,['Matt Tolbert'],['Denard Span'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
4,bottom,0,[],Franklin Morales,3,1,1,Joe Mauer,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,N/A,N/A,N/A,N/A,N/A
5,top,0,[],Carl Pavano,1,1,3,Miguel Olivo,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
5,top,0,[],Carl Pavano,2,2,3,Ian Stewart,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
5,top,0,[],Carl Pavano,2,0,2,Clint Barmes,['N/A'],['Clint Barmes'],['N/A'],Double,N/A,N/A,N/A,N/A,N/A,N/A
5,top,0,[],Carl Pavano,3,2,0,Carlos Gonzalez,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
5,bottom,0,[],Franklin Morales,1,3,3,Justin Morneau,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
5,bottom,0,[],Franklin Morales,1,4,2,Michael Cuddyer,['Michael Cuddyer'],['N/A'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
5,bottom,2,['Michael Cuddyer'],Franklin Morales,1,2,2,Jason Kubel,['N/A'],['N/A'],['N/A'],Home Run,N/A,7,2,2,N/A,N/A
5,bottom,0,[],Franklin Morales,1,0,0,Delmon Young,['N/A'],['Delmon Young'],['N/A'],Double,N/A,N/A,N/A,N/A,N/A,N/A
5,bottom,0,[],Franklin Morales,1,4,2,Danny Valencia,['Danny Valencia'],['N/A'],['N/A'],Walk,N/A,N/A,N/A,N/A,N/A,N/A
5,bottom,0,[],Franklin Morales,2,0,0,Nick Punto,['N/A'],['N/A'],['Delmon Young'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
5,bottom,1,['Delmon Young'],Franklin Morales,2,1,0,Denard Span,['Denard Span'],['Danny Valencia'],['N/A'],Single,N/A,8,2,1,N/A,N/A
5,bottom,0,[],Franklin Morales,3,0,2,Matt Tolbert,['N/A'],['N/A'],['N/A'],Forceout,N/A,N/A,N/A,N/A,N/A,N/A
6,top,1,[],Carl Pavano,0,1,1,Todd Helton,['N/A'],['N/A'],['N/A'],Home Run,N/A,8,3,1,N/A,N/A
6,top,0,[],Carl Pavano,1,1,1,Troy Tulowitzki,['N/A'],['N/A'],['N/A'],Pop Out,N/A,N/A,N/A,N/A,N/A,N/A
6,top,0,[],Carl Pavano,2,1,2,Jason Giambi,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
6,top,0,[],Carl Pavano,3,0,3,Ryan Spilborghs,['N/A'],['N/A'],['N/A'],Strikeout,N/A,N/A,N/A,N/A,N/A,N/A
6,bottom,0,[],Randy Flores,1,3,1,Joe Mauer,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
6,bottom,0,[],Randy Flores,2,1,0,Justin Morneau,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
6,bottom,0,[],Randy Flores,3,1,0,Michael Cuddyer,['N/A'],['N/A'],['N/A'],Pop Out,N/A,N/A,N/A,N/A,N/A,N/A
7,top,0,[],Carl Pavano,0,1,0,Seth Smith,['Seth Smith'],['N/A'],['N/A'],Single,N/A,N/A,N/A,N/A,N/A,N/A
7,top,0,[],Carl Pavano,1,1,0,Miguel Olivo,['N/A'],['N/A'],['N/A'],Lineout,N/A,N/A,N/A,N/A,N/A,N/A
7,top,0,[],Carl Pavano,2,0,0,Ian Stewart,['N/A'],['N/A'],['N/A'],Flyout,N/A,N/A,N/A,N/A,N/A,N/A
7,top,0,[],Carl Pavano,3,1,2,Clint Barmes,['N/A'],['N/A'],['N/A'],Groundout,N/A,N/A,N/A,N/A,N/A,N/A
