AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
2,0,0,5,1,20,22,11,50,Andrew,8,7,88,37,2,5,Andrew Wiggins,30,2,Wiggins,F,3,Minnesota,6
2,1,9,1,0,0,10,7,70,Gorgui,4,2,50,36,4,3,Gorgui Dieng,16,13,Dieng,F,4,Minnesota,3
3,1,13,2,1,50,24,16,67,Karl-Anthony,4,4,100,37,9,2,Karl-Anthony Towns,37,22,Towns,C,1,Minnesota,4
2,0,5,3,0,0,5,0,0,Brandon,0,0,0,33,0,1,Brandon Rush,0,5,Rush,G,0,Minnesota,0
11,0,2,5,2,40,8,3,38,Ricky,7,6,86,32,1,3,Ricky Rubio,14,3,Rubio,G,1,Minnesota,6
0,0,0,2,2,100,5,4,80,Nemanja,0,0,0,14,1,4,Nemanja Bjelica,10,1,Bjelica,N/A,0,Minnesota,3
0,0,1,2,1,50,8,4,50,Shabazz,2,2,100,13,2,2,Shabazz Muhammad,11,3,Muhammad,N/A,0,Minnesota,1
2,0,3,1,1,100,4,2,50,Kris,1,1,100,18,2,5,Kris Dunn,6,5,Dunn,N/A,0,Minnesota,0
6,0,4,5,1,20,8,2,25,Tyus,2,1,50,21,0,1,Tyus Jones,6,4,Jones,N/A,1,Minnesota,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cole,N/A,N/A,N/A,N/A,N/A,N/A,Cole Aldrich,N/A,N/A,Aldrich,N/A,N/A,Minnesota,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jordan,N/A,N/A,N/A,N/A,N/A,N/A,Jordan Hill,N/A,N/A,Hill,N/A,N/A,Minnesota,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Adreian,N/A,N/A,N/A,N/A,N/A,N/A,Adreian Payne,N/A,N/A,Payne,N/A,N/A,Minnesota,N/A
3,0,1,8,3,38,8,3,38,Trevor,6,6,100,32,2,1,Trevor Ariza,15,3,Ariza,F,1,Houston,1
3,0,1,13,4,31,15,5,33,Ryan,5,4,80,24,1,1,Ryan Anderson,18,2,Anderson,F,0,Houston,1
2,1,5,0,0,0,9,7,78,Clint,2,2,100,22,4,2,Clint Capela,16,9,Capela,C,1,Houston,2
7,1,3,7,3,43,10,4,40,Patrick,5,4,80,29,1,4,Patrick Beverley,15,4,Beverley,G,3,Houston,0
10,1,5,11,5,46,15,6,40,James,10,7,70,35,0,1,James Harden,24,5,Harden,G,2,Houston,7
2,0,1,10,4,40,13,5,39,Eric,0,0,0,30,0,2,Eric Gordon,14,1,Gordon,N/A,2,Houston,0
1,2,2,0,0,0,6,5,83,Nene,3,1,33,19,2,5,Nene,11,4,N/A,N/A,1,Houston,0
4,0,0,7,2,29,11,4,36,Lou,9,7,78,26,0,2,Lou Williams,17,0,Williams,N/A,3,Houston,2
0,1,0,2,1,50,4,3,75,Sam,2,1,50,16,2,1,Sam Dekker,8,2,Dekker,N/A,1,Houston,0
0,0,1,0,0,0,3,2,67,Montrezl,0,0,0,7,1,2,Montrezl Harrell,4,2,Harrell,N/A,1,Houston,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bobby,N/A,N/A,N/A,N/A,N/A,N/A,Bobby Brown,N/A,N/A,Brown,N/A,N/A,Houston,N/A
