AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
3,0,7,1,0,0,7,0,0,Jeff,2,2,100,35,0,3,Jeff Green,2,7,Green,F,0,Memphis,0
1,3,5,6,1,17,9,4,44,Matt,2,2,100,32,0,2,Matt Barnes,11,5,Barnes,F,4,Memphis,1
1,0,7,0,0,0,14,6,43,Marc,4,4,100,34,1,2,Marc Gasol,16,8,Gasol,C,3,Memphis,2
2,0,0,3,1,33,8,2,25,Courtney,3,3,100,29,0,1,Courtney Lee,8,0,Lee,G,1,Memphis,2
2,0,3,2,1,50,12,6,50,Mike,7,7,100,35,1,2,Mike Conley,20,4,Conley,G,1,Memphis,2
1,0,5,0,0,0,10,3,30,Zach,2,1,50,26,3,4,Zach Randolph,7,8,Randolph,N/A,0,Memphis,1
0,0,2,0,0,0,6,4,67,JaMychal,0,0,0,13,5,2,JaMychal Green,8,7,Green,N/A,0,Memphis,1
2,0,0,4,2,50,9,4,44,Mario,2,2,100,25,0,2,Mario Chalmers,12,0,Chalmers,N/A,1,Memphis,2
0,0,0,1,1,100,2,1,50,James,2,1,50,8,0,1,James Ennis III,4,0,Ennis,N/A,1,Memphis,1
0,0,0,0,0,0,2,0,0,Jarell,0,0,0,3,0,0,Jarell Martin,0,0,Martin,N/A,0,Memphis,0
1,0,0,0,0,0,1,0,0,Russ,0,0,0,1,0,0,Russ Smith,0,0,Smith,N/A,0,Memphis,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tony,N/A,N/A,N/A,N/A,N/A,N/A,Tony Allen,N/A,N/A,Allen,N/A,N/A,Memphis,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vince,N/A,N/A,N/A,N/A,N/A,N/A,Vince Carter,N/A,N/A,Carter,N/A,N/A,Memphis,N/A
3,0,1,3,0,0,4,0,0,Wesley,2,2,100,29,0,0,Wesley Matthews,2,1,Matthews,F,2,Dallas,1
1,1,3,3,2,67,13,7,54,Dirk,4,4,100,28,2,1,Dirk Nowitzki,20,5,Nowitzki,F,0,Dallas,1
1,0,12,0,0,0,12,4,33,Zaza,2,2,100,29,6,3,Zaza Pachulia,10,18,Pachulia,C,1,Dallas,2
3,0,5,4,1,25,8,3,38,Deron,8,7,88,31,1,3,Deron Williams,14,6,Williams,G,1,Dallas,5
6,0,3,5,2,40,10,3,30,Raymond,0,0,0,28,0,2,Raymond Felton,8,3,Felton,G,1,Dallas,2
6,0,7,6,2,33,10,5,50,Chandler,5,4,80,31,0,0,Chandler Parsons,16,7,Parsons,N/A,1,Dallas,2
0,0,0,0,0,0,2,0,0,Dwight,0,0,0,9,1,3,Dwight Powell,0,1,Powell,N/A,1,Dallas,0
5,0,3,3,1,33,6,3,50,J.J.,0,0,0,22,0,5,J.J. Barea,7,3,Barea,N/A,0,Dallas,3
0,3,4,0,0,0,6,5,83,JaVale,0,0,0,18,1,0,JaVale McGee,10,5,McGee,N/A,0,Dallas,2
0,0,0,0,0,0,0,0,0,Jeremy,0,0,0,1,0,0,Jeremy Evans,0,0,Evans,N/A,0,Dallas,0
2,0,1,5,2,40,7,4,57,Charlie,0,0,0,12,0,0,Charlie Villanueva,10,1,Villanueva,N/A,0,Dallas,1
0,0,0,0,0,0,0,0,0,John,0,0,0,1,0,0,John Jenkins,0,0,Jenkins,N/A,0,Dallas,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Devin,N/A,N/A,N/A,N/A,N/A,N/A,Devin Harris,N/A,N/A,Harris,N/A,N/A,Dallas,N/A
