inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Gavin Floyd,1,2,2,Matt Carpenter,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Gavin Floyd,2,0,0,Yadier Molina,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Gavin Floyd,2,1,0,Matt Holliday,['Matt Holliday'],['N/A'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Gavin Floyd,3,2,2,Matt Adams,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Tyler Lyons,1,1,2,Jason Heyward,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Tyler Lyons,2,2,0,Justin Upton,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Tyler Lyons,3,0,0,Freddie Freeman,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Gavin Floyd,0,0,0,Jhonny Peralta,['Jhonny Peralta'],['N/A'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Gavin Floyd,1,1,1,Allen Craig,['N/A'],['N/A'],['N/A'],Lineout,N/A,0,0,N/A,N/A,N/A
2,top,0,[],Gavin Floyd,3,2,1,Jon Jay,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Tyler Lyons,1,1,1,Chris Johnson,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Tyler Lyons,2,0,1,Gerald Laird,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
2,bottom,0,[],Tyler Lyons,3,1,3,Melvin Upton,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
3,top,0,[],Gavin Floyd,1,1,3,Daniel Descalso,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
3,top,0,[],Gavin Floyd,1,4,1,Tyler Lyons,['Tyler Lyons'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
3,top,0,[],Gavin Floyd,1,2,0,Matt Carpenter,['Matt Carpenter'],['Tyler Lyons'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
3,top,0,[],Gavin Floyd,2,2,2,Yadier Molina,['N/A'],['Matt Carpenter'],['Tyler Lyons'],Groundout,N/A,0,0,N/A,N/A,N/A
3,top,0,[],Gavin Floyd,3,1,2,Matt Holliday,['N/A'],['N/A'],['N/A'],Groundout,N/A,0,0,N/A,N/A,N/A
3,bottom,0,[],Tyler Lyons,1,3,1,Dan Uggla,['N/A'],['N/A'],['N/A'],Pop Out,N/A,0,0,N/A,N/A,N/A
3,bottom,0,[],Tyler Lyons,2,1,1,Gavin Floyd,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
3,bottom,0,[],Tyler Lyons,3,0,2,Andrelton Simmons,['N/A'],['N/A'],['N/A'],Pop Out,N/A,0,0,N/A,N/A,N/A
4,top,0,[],Gavin Floyd,0,1,0,Matt Adams,['Matt Adams'],['N/A'],['N/A'],Single,N/A,0,0,N/A,N/A,N/A
4,top,0,[],Gavin Floyd,2,1,2,Jhonny Peralta,['N/A'],['N/A'],['N/A'],Grounded Into DP,N/A,0,0,N/A,N/A,N/A
4,top,0,[],Gavin Floyd,3,1,2,Allen Craig,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
4,bottom,0,[],Tyler Lyons,1,1,0,Jason Heyward,['N/A'],['N/A'],['N/A'],Pop Out,N/A,0,0,N/A,N/A,N/A
4,bottom,1,[],Tyler Lyons,1,0,1,Justin Upton,['N/A'],['N/A'],['N/A'],Home Run,N/A,1,0,1,N/A,N/A
4,bottom,0,[],Tyler Lyons,2,3,2,Freddie Freeman,['N/A'],['N/A'],['N/A'],Flyout,N/A,1,0,N/A,N/A,N/A
4,bottom,0,[],Tyler Lyons,3,0,3,Chris Johnson,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
5,top,0,[],Gavin Floyd,1,3,3,Jon Jay,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
5,top,0,[],Gavin Floyd,2,1,2,Daniel Descalso,['N/A'],['N/A'],['N/A'],Groundout,N/A,1,0,N/A,N/A,N/A
5,top,0,[],Gavin Floyd,3,2,3,Tyler Lyons,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
5,bottom,0,[],Tyler Lyons,0,1,1,Gerald Laird,['Gerald Laird'],['N/A'],['N/A'],Single,N/A,1,0,N/A,N/A,N/A
5,bottom,0,[],Tyler Lyons,1,1,3,Melvin Upton,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
5,bottom,0,[],Tyler Lyons,2,1,3,Dan Uggla,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
5,bottom,0,[],Tyler Lyons,2,1,1,Gavin Floyd,['Gavin Floyd'],['Gerald Laird'],['N/A'],Single,N/A,1,0,N/A,N/A,N/A
5,bottom,0,[],Tyler Lyons,3,2,3,Andrelton Simmons,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
6,top,0,[],Gavin Floyd,0,4,1,Matt Carpenter,['Matt Carpenter'],['N/A'],['N/A'],Walk,N/A,1,0,N/A,N/A,N/A
