p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Millwood,,,,,,,,,,Kevin Millwood,,,,,,,,,Kevin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Tejada,,0,,3B,2,,0,0,4,Miguel Tejada,,2,1.000,,.272,,,5,Miguel,,,,,1,,,0,.679,,200,,0,,,0,,0,,0,,,0,0,0,0,0,Orioles,0,.368,0,.311
,Lugo,,,,,,,,,,Julio Lugo,,,,,,,,,Julio,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Patterson,,,,,,,,,,Corey Patterson,,,,,,,,,Corey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Gonzalez,,,,,,,,,,Michael Gonzalez,,,,,,,,,Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Izturis,,0,,SS,0,,0,1,2,Cesar Izturis,,,1.000,,.254,,,0,Cesar,,,,,0,,,0,.595,,900,,0,,,1,,0,,2,,,0,0,0,0,1,Orioles,0,.295,0,.300
,Ohman,,,,,,,,,,Will Ohman,,,,,,,,,Will,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Roberts,,,,,,,,,,Brian Roberts,,,,,,,,,Brian,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Wigginton,,0,,1B,0,,0,0,4,Ty Wigginton,,1,1.000,,.248,,,0,Ty,,,,,8,,,0,.756,,400,,0,,,1,,1,,1,,,0,0,2,0,0,Orioles,0,.428,0,.328
,Hendrickson,,,,,,,,,,Mark Hendrickson,,,,,,,,,Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Guthrie,,,,,,,,,,Jeremy Guthrie,,,,,,,,,Jeremy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Montanez,,,,,,,,,,Luis Montanez,,,,,,,,,Luis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Pie,,0,,LF,3,,0,0,4,Felix Pie,,,1.000,,.327,,,4,Felix,,,,,2,,,0,.913,,100,,0,,,0,,0,,1,,,0,0,0,0,0,Orioles,0,.538,0,.375
1,Simon,0,0,0,P,0,3,0,0,0,Alfredo Simon,2,,.000,2,.000,0,6,0,Alfredo,13,0,,0,0,1,,0,.000,0,,,0,53,,0,3.12,0,3,0,0,8,0,0,0,0,0,Orioles,0,.000,0,.000
,Jones,,0,,CF,2,,0,0,4,Adam Jones,,2,1.000,,.273,,,2,Adam,,,,,1,,,0,.745,,600,,0,,,0,,0,,0,,,0,0,0,0,0,Orioles,0,.443,0,.302
,Scott,,0,,DH,2,,0,0,4,Luke Scott,,1,.000,,.273,,,1,Luke,,,,,0,,,0,.861,,500,,0,,,0,,0,,1,,,0,0,0,0,0,Orioles,0,.515,0,.346
,Fox,,,,,,,,,,Jake Fox,,,,,,,,,Jake,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Moore,,0,,2B,1,,0,0,3,Scott Moore,,1,1.000,,.231,,,0,Scott,,,,,4,,,1,.674,,700,,0,,,6,,0,,0,,,0,1,1,0,0,Orioles,0,.372,0,.302
,Wieters,,,,,,,,,,Matt Wieters,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Bergesen,,,,,,,,,,Brad Bergesen,,,,,,,,,Brad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Matusz,,,,,,,,,,Brian Matusz,,,,,,,,,Brian,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Arrieta,,,,,,,,,,Jake Arrieta,,,,,,,,,Jake,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Markakis,,0,,RF,2,,0,0,4,Nick Markakis,,2,1.000,,.305,,,0,Nick,,,,,1,,,0,.839,,300,,0,,,0,,0,,0,,,0,0,0,0,0,Orioles,0,.450,0,.389
7,Hernandez,1,0,0,P,0,4,0,0,0,David Hernandez,4,,.000,1,.000,0,10,0,David,2,1,,0,0,1,,0,.000,1,,,0,52,,0,4.35,0,3,0,0,12,0,0,0,0,0,Orioles,0,.000,0,.000
3,Albers,1,0,2,P,0,13,0,0,0,Matt Albers,3,,.000,2,.000,0,35,0,Matt,0,4,,0,0,3,1/3,0,.000,4,,,0,60,,0,4.31,0,10,0,0,62,0,0,0,0,0,Orioles,0,.000,0,.000
,Bell,,,,,,,,,,Josh Bell,,,,,,,,,Josh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Berken,,,,,,,,,,Jason Berken,,,,,,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
,Tatum,,0,,C,0,,0,0,4,Craig Tatum,,1,1.000,,.254,,,0,Craig,,,,,9,,,0,.628,,800,,0,,,1,,0,,2,,,0,0,1,0,0,Orioles,0,.282,0,.346
,Johnson,,,,,,,,,,Jim Johnson,,,,,,,,,Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orioles,,,,
0,Uehara,0,0,0,P,0,3,0,0,0,Koji Uehara,0,,.000,0,.000,0,9,0,Koji,0,2,,0,0,1,,0,.000,3,,,0,55,,0,3.27,0,3,0,0,11,0,0,0,0,0,Orioles,0,.000,0,.000
4,Tillman,7,0,4,P,0,20,0,0,0,Chris Tillman,1,,1.000,0,.000,8,41,0,Chris,0,2,,0,1,2,2/3,0,.000,0,,true,0,10,,0,7.92,0,8,0,8,76,0,0,0,0,0,Orioles,0,.000,0,.000
,Kapler,,,,,,,,,,Gabe Kapler,,,,,,,,,Gabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Pena,,0,,1B,0,,0,1,3,Carlos Pena,,,1.000,,.211,,,1,Carlos,,,,,10,,,1,.767,,400,,0,,,0,,0,,0,,,0,1,3,0,0,Rays,0,.438,0,.329
0,Wheeler,0,0,0,P,0,3,0,0,0,Dan Wheeler,2,,1.000,1,.000,0,7,0,Dan,1,1,,0,0,1,,0,.000,6,,,0,54,,1,3.03,0,3,0,0,9,0,0,0,0,0,Rays,0,.000,0,.000
,Benoit,,,,,,,,,,Joaquin Benoit,,,,,,,,,Joaquin,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Choate,,,,,,,,,,Randy Choate,,,,,,,,,Randy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Balfour,,,,,,,,,,Grant Balfour,,,,,,,,,Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Soriano,,,,,,,,,,Rafael Soriano,,,,,,,,,Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Crawford,,0,,LF,1,,0,0,5,Carl Crawford,,3,1.000,,.318,,,3,Carl,,,,,2,,,0,.887,,200,,0,,,0,,0,,1,,,0,1,0,1,1,Rays,0,.513,0,.374
,Upton,,0,,CF,1,,0,0,4,Melvin Upton,,2,1.000,,.231,,,0,Melvin,,,,,3,,,1,.713,,700,,0,,,0,,0,,1,,,0,1,0,0,1,Rays,0,.391,0,.322
,Bartlett,,0,,SS,0,,0,0,3,Jason Bartlett,,,1.000,,.244,,,2,Jason,,,,,1,,,1,.666,,800,,0,,,3,,0,,2,,,0,1,1,0,2,Rays,0,.341,0,.325
,Aybar,,,,,,,,,,Willy Aybar,,,,,,,,,Willy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Shoppach,,,,,,,,,,Kelly Shoppach,,,,,,,,,Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Cormier,,,,,,,,,,Lance Cormier,,,,,,,,,Lance,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Howell,,,,,,,,,,J.P. Howell,,,,,,,,,J.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Niemann,,,,,,,,,,Jeff Niemann,,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Jaso,,0,,C,1,,0,0,3,John Jaso,,2,1.000,,.268,,,1,John,,,,,4,,,2,.753,,600,,0,,,0,,0,,0,,,0,2,0,0,0,Rays,0,.366,0,.387
,Longoria,,0,,3B,0,,0,0,5,Evan Longoria,,,1.000,,.306,,,0,Evan,,,,,1,,,0,.906,,300,,0,,,4,,0,,3,,,0,1,2,0,1,Rays,1,.516,0,.390
,Rodriguez,,1,,2B,1,,0,0,3,Sean Rodriguez,,1,1.000,,.259,,,4,Sean,,,,,2,,,0,.713,,900,,0,,,2,,0,,0,,,0,0,2,0,1,Rays,0,.415,0,.298
,Shields,,,,,,,,,,James Shields,,,,,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Zobrist,,0,,RF,2,,0,0,5,Ben Zobrist,,2,1.000,,.280,,,3,Ben,,,,,4,,,0,.768,,100,,0,,,0,,1,,1,,,0,0,0,0,1,Rays,0,.390,0,.378
9,Davis,7,0,1,P,0,32,0,0,0,Wade Davis,7,,1.000,0,.000,1,73,0,Wade,0,3,,0,0,8,,0,.000,0,,,0,66,true,1,4.41,0,24,0,1,110,0,0,0,0,0,Rays,0,.000,0,.000
,Price,,,,,,,,,,David Price,,,,,,,,,David,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Sonnanstine,,,,,,,,,,Andy Sonnanstine,,,,,,,,,Andy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Brignac,,,,,,,,,,Reid Brignac,,,,,,,,,Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
,Joyce,,0,,DH,2,,0,0,4,Matt Joyce,,,.000,,.208,,,2,Matt,,,,,0,,,1,.772,,500,,0,,,0,,1,,1,,,0,1,1,0,1,Rays,0,.375,0,.397
,Garza,,,,,,,,,,Matt Garza,,,,,,,,,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rays,,,,
