inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Tommy Hunter,1,0,1,Jacoby Ellsbury,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Tommy Hunter,2,2,2,Dustin Pedroia,['N/A'],['N/A'],['N/A'],Flyout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Tommy Hunter,3,1,3,Kevin Youkilis,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Josh Beckett,0,1,0,Ian Kinsler,['N/A'],['Ian Kinsler'],['N/A'],Double,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Josh Beckett,1,1,2,Michael Young,['N/A'],['N/A'],['N/A'],Lineout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Josh Beckett,2,1,3,Josh Hamilton,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],Josh Beckett,2,4,2,Andruw Jones,['Andruw Jones'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
1,bottom,0,[],N/A,2,1,0,Hank Blalock,['N/A'],['Andruw Jones'],['Ian Kinsler'],Stolen Base 2B,N/A,0,0,N/A,N/A,N/A
1,bottom,2,"['Ian Kinsler', 'Andruw Jones']",Josh Beckett,2,3,1,Hank Blalock,['Hank Blalock'],['Andruw Jones'],['Ian Kinsler'],Single,N/A,2,0,2,N/A,N/A
1,bottom,0,[],Josh Beckett,3,0,0,Marlon Byrd,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Tommy Hunter,1,2,1,David Ortiz,['N/A'],['N/A'],['N/A'],Single,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Tommy Hunter,1,4,2,Jason Bay,['Jason Bay'],['N/A'],['N/A'],Walk,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Tommy Hunter,2,0,1,J.D. Drew,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
2,top,0,[],Tommy Hunter,3,2,2,Mike Lowell,['N/A'],['N/A'],['N/A'],Pop Out,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Josh Beckett,1,0,1,David Murphy,['N/A'],['N/A'],['N/A'],Pop Out,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Josh Beckett,2,1,3,Jarrod Saltalamacchia,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
2,bottom,0,[],Josh Beckett,3,2,2,Elvis Andrus,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Tommy Hunter,1,1,1,Jason Varitek,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Tommy Hunter,1,1,1,Jed Lowrie,['N/A'],['Jed Lowrie'],['N/A'],Double,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Tommy Hunter,2,1,1,Jacoby Ellsbury,['N/A'],['N/A'],['Jed Lowrie'],Groundout,N/A,2,0,N/A,N/A,N/A
3,top,0,[],Tommy Hunter,3,0,1,Dustin Pedroia,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Josh Beckett,1,0,1,Ian Kinsler,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Josh Beckett,2,2,1,Michael Young,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
3,bottom,0,[],Josh Beckett,3,0,3,Josh Hamilton,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
4,top,0,[],Tommy Hunter,1,0,1,Kevin Youkilis,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
4,top,0,[],Tommy Hunter,2,1,2,David Ortiz,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
4,top,0,[],Tommy Hunter,3,2,1,Jason Bay,['N/A'],['N/A'],['N/A'],Pop Out,N/A,2,0,N/A,N/A,N/A
4,bottom,0,[],Josh Beckett,1,2,1,Andruw Jones,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
4,bottom,0,[],Josh Beckett,2,2,2,Hank Blalock,['N/A'],['N/A'],['N/A'],Groundout,N/A,2,0,N/A,N/A,N/A
4,bottom,0,[],Josh Beckett,3,2,3,Marlon Byrd,['N/A'],['N/A'],['N/A'],Strikeout,N/A,2,0,N/A,N/A,N/A
5,top,0,[],Tommy Hunter,1,0,2,J.D. Drew,['N/A'],['N/A'],['N/A'],Flyout,N/A,2,0,N/A,N/A,N/A
