AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
3,0,11,0,0,0,6,4,67,Michael,10,5,50,37,2,3,Michael Kidd-Gilchrist,13,13,Kidd-Gilchrist,F,1,Charlotte,0
4,0,3,0,0,0,5,1,20,Cody,0,0,0,31,0,2,Cody Zeller,2,3,Zeller,F,0,Charlotte,0
1,0,10,0,0,0,19,9,47,Al,0,0,0,31,2,2,Al Jefferson,18,12,Jefferson,C,2,Charlotte,0
5,0,1,2,1,50,13,6,46,Gerald,4,4,100,33,1,0,Gerald Henderson,17,2,Henderson,G,1,Charlotte,1
3,0,1,3,1,33,10,6,60,Brian,5,5,100,34,0,2,Brian Roberts,18,1,Roberts,G,1,Charlotte,1
2,0,3,3,0,0,8,4,50,Lance,0,0,0,23,0,2,Lance Stephenson,8,3,Stephenson,N/A,1,Charlotte,3
1,2,7,3,0,0,4,0,0,Marvin,0,0,0,18,0,2,Marvin Williams,0,7,Williams,N/A,0,Charlotte,1
1,0,0,4,2,50,11,5,46,Gary,0,0,0,17,0,3,Gary Neal,12,0,Neal,N/A,0,Charlotte,3
1,1,0,0,0,0,3,2,67,Jason,0,0,0,16,1,2,Jason Maxiell,4,1,Maxiell,N/A,0,Charlotte,2
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Bismack,N/A,N/A,N/A,N/A,N/A,N/A,Bismack Biyombo,N/A,N/A,Biyombo,N/A,N/A,Charlotte,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PJ,N/A,N/A,N/A,N/A,N/A,N/A,PJ Hairston,N/A,N/A,Hairston,N/A,N/A,Charlotte,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jeff,N/A,N/A,N/A,N/A,N/A,N/A,Jeff Taylor,N/A,N/A,Taylor,N/A,N/A,Charlotte,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Noah,N/A,N/A,N/A,N/A,N/A,N/A,Noah Vonleh,N/A,N/A,Vonleh,N/A,N/A,Charlotte,N/A
1,0,3,5,3,60,7,4,57,Paul,0,0,0,24,0,3,Paul Pierce,11,3,Pierce,F,1,Washington,2
1,0,5,0,0,0,10,4,40,Nene,0,0,0,28,2,3,Nene,8,7,N/A,F,0,Washington,1
0,2,6,0,0,0,6,2,33,Marcin,0,0,0,24,1,3,Marcin Gortat,4,7,Gortat,C,0,Washington,3
1,0,11,4,2,50,16,7,44,Bradley,2,2,100,39,0,2,Bradley Beal,18,11,Beal,G,1,Washington,1
10,0,0,4,1,25,14,4,29,John,7,7,100,34,1,4,John Wall,16,1,Wall,G,0,Washington,4
1,0,0,1,0,0,7,3,43,Garrett,0,0,0,26,0,3,Garrett Temple,6,0,Temple,N/A,3,Washington,0
1,0,2,0,0,0,8,4,50,Kris,6,5,83,26,3,0,Kris Humphries,13,5,Humphries,N/A,1,Washington,0
1,1,2,1,0,0,4,2,50,Otto,2,0,0,15,2,2,Otto Porter,4,4,Porter,N/A,0,Washington,1
1,0,4,0,0,0,7,2,29,Kevin,2,2,100,19,1,2,Kevin Seraphin,6,5,Seraphin,N/A,1,Washington,0
2,0,0,0,0,0,2,1,50,Rasual,0,0,0,7,0,1,Rasual Butler,2,0,Butler,N/A,0,Washington,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Drew,N/A,N/A,N/A,N/A,N/A,N/A,Drew Gooden,N/A,N/A,Gooden,N/A,N/A,Washington,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Andre,N/A,N/A,N/A,N/A,N/A,N/A,Andre Miller,N/A,N/A,Miller,N/A,N/A,Washington,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Martell,N/A,N/A,N/A,N/A,N/A,N/A,Martell Webster,N/A,N/A,Webster,N/A,N/A,Washington,N/A
