inning,top_down,runs,scorers,pitcher,o,b,s,batter,b1,b2,b3,event,event2,home_team_runs,away_team_runs,rbi,error_runs,fielder_error
1,top,0,[],Jhoulys Chacin,0,4,0,Martin Prado,['Martin Prado'],['N/A'],['N/A'],Walk,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,1,0,3,Jason Heyward,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,1,3,1,Brian McCann,['Brian McCann'],['N/A'],['Martin Prado'],Single,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,2,2,3,Freddie Freeman,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,top,0,[],Jhoulys Chacin,3,3,3,Eric Hinske,['N/A'],['N/A'],['N/A'],Strikeout,N/A,0,0,N/A,N/A,N/A
1,bottom,1,[],Tommy Hanson,0,1,1,Carlos Gonzalez,['N/A'],['N/A'],['N/A'],Home Run,N/A,1,0,1,N/A,N/A
1,bottom,0,[],Tommy Hanson,1,1,0,Mark Ellis,['N/A'],['N/A'],['N/A'],Pop Out,N/A,1,0,N/A,N/A,N/A
1,bottom,0,[],Tommy Hanson,2,1,3,Jason Giambi,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
1,bottom,0,[],Tommy Hanson,3,1,3,Troy Tulowitzki,['N/A'],['N/A'],['N/A'],Strikeout,N/A,1,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,1,1,1,Brooks Conrad,['N/A'],['N/A'],['N/A'],Flyout,N/A,1,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,2,0,0,Alex Gonzalez,['N/A'],['N/A'],['N/A'],Groundout,N/A,1,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,2,4,1,Nate McLouth,['Nate McLouth'],['N/A'],['N/A'],Walk,N/A,1,0,N/A,N/A,N/A
2,top,0,[],Jhoulys Chacin,3,2,1,Tommy Hanson,['N/A'],['N/A'],['N/A'],Groundout,N/A,1,0,N/A,N/A,N/A
2,bottom,0,[],Tommy Hanson,1,2,2,Seth Smith,['N/A'],['N/A'],['N/A'],Lineout,N/A,1,0,N/A,N/A,N/A
2,bottom,0,[],Tommy Hanson,1,1,2,Ian Stewart,['Ian Stewart'],['N/A'],['N/A'],Single,N/A,1,0,N/A,N/A,N/A
2,bottom,0,[],Tommy Hanson,1,4,2,Chris Iannetta,['Chris Iannetta'],['Ian Stewart'],['N/A'],Walk,N/A,1,0,N/A,N/A,N/A
2,bottom,2,"['Ian Stewart', 'Chris Iannetta']",Tommy Hanson,1,1,1,Dexter Fowler,['N/A'],['N/A'],['Dexter Fowler'],Triple,N/A,3,0,2,N/A,N/A
2,bottom,0,[],N/A,1,0,1,Jhoulys Chacin,['N/A'],['N/A'],['N/A'],Stolen Base Home,N/A,4,0,N/A,N/A,N/A
2,bottom,0,[],Tommy Hanson,2,0,1,Jhoulys Chacin,['N/A'],['N/A'],['N/A'],Groundout,N/A,4,0,N/A,N/A,N/A
2,bottom,0,[],Tommy Hanson,3,0,1,Carlos Gonzalez,['N/A'],['N/A'],['N/A'],Groundout,N/A,4,0,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,0,4,1,Martin Prado,['Martin Prado'],['N/A'],['N/A'],Walk,N/A,4,0,N/A,N/A,N/A
3,top,2,['Martin Prado'],Jhoulys Chacin,0,1,2,Jason Heyward,['N/A'],['N/A'],['N/A'],Home Run,N/A,4,2,2,N/A,N/A
3,top,0,[],Jhoulys Chacin,1,2,0,Brian McCann,['N/A'],['N/A'],['N/A'],Flyout,N/A,4,2,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,1,3,2,Freddie Freeman,['Freddie Freeman'],['N/A'],['N/A'],Single,N/A,4,2,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,1,4,0,Eric Hinske,['Eric Hinske'],['Freddie Freeman'],['N/A'],Walk,N/A,4,2,N/A,N/A,N/A
3,top,0,[],Jhoulys Chacin,1,4,1,Brooks Conrad,['Brooks Conrad'],['Eric Hinske'],['Freddie Freeman'],Walk,N/A,4,2,N/A,N/A,N/A
3,top,1,['Freddie Freeman'],Jhoulys Chacin,2,0,1,Alex Gonzalez,['Alex Gonzalez'],['N/A'],['Eric Hinske'],Forceout,N/A,4,3,1,N/A,N/A
3,top,0,[],Jhoulys Chacin,3,1,2,Nate McLouth,['N/A'],['N/A'],['N/A'],Groundout,N/A,4,3,N/A,N/A,N/A
3,bottom,0,[],Tommy Hanson,0,1,1,Mark Ellis,['Mark Ellis'],['N/A'],['N/A'],Single,N/A,4,3,N/A,N/A,N/A
3,bottom,0,[],Tommy Hanson,1,0,0,Jason Giambi,['N/A'],['N/A'],['N/A'],Flyout,N/A,4,3,N/A,N/A,N/A
3,bottom,0,[],Tommy Hanson,1,1,2,Troy Tulowitzki,['Troy Tulowitzki'],['Mark Ellis'],['N/A'],Single,N/A,4,3,N/A,N/A,N/A
3,bottom,0,[],Tommy Hanson,2,3,2,Seth Smith,['Seth Smith'],['N/A'],['Mark Ellis'],Forceout,N/A,4,3,N/A,N/A,N/A
3,bottom,0,[],Tommy Hanson,2,2,2,Ian Stewart,['N/A'],['Seth Smith'],['N/A'],Wild Pitch,N/A,4,3,N/A,N/A,N/A
3,bottom,0,[],Tommy Hanson,3,2,3,Ian Stewart,['N/A'],['Seth Smith'],['N/A'],Strikeout,N/A,4,3,N/A,N/A,N/A
