p_l,last_name,p_h,sac,p_bb,pos,ao,p_bf,cs,hbp,ab,full_name,p_w,go,fldg,p_bs,avg,p_r,p_s,lob,first_name,p_sv,p_so,p_save,p_hr,po,p_ip1,p_ip2,bb,ops,p_hld,bo,p_loss,e,p_game_score,p_win,a,p_era,d,p_out,h,p_er,p_np,hr,r,so,t,rbi,team,sb,slg,sf,obp
,Ibanez,,0,,1B,0,,0,0,2,Raul Ibanez,,,1.000,,.167,,,0,Raul,,,,,5,,,1,.542,,600,,0,,,1,,0,,2,,,0,1,0,1,1,Royals,0,.287,0,.255
,Chen,,,,,,,,,,Bruce Chen,,,,,,,,,Bruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Downs,,,,,,,,,,Scott Downs,,,,,,,,,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Infante,,0,,2B,3,,0,0,4,Omar Infante,,,1.000,,.267,,,2,Omar,,,,,1,,,0,.678,,200,,0,,,3,,0,,0,,,0,0,1,0,0,Royals,0,.371,0,.307
,Guthrie,,,,,,,,,,Jeremy Guthrie,,,,,,,,,Jeremy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
1,Frasor,0,0,0,P,0,1,0,0,0,Jason Frasor,1,,.000,2,.000,0,2,0,Jason,0,0,,0,0,0,1/3,0,.000,10,,,0,51,,0,3.19,0,1,0,0,2,0,0,0,0,0,Royals,0,.000,0,.000
,Escobar,,0,,SS,0,,0,0,3,Alcides Escobar,,2,1.000,,.275,,,0,Alcides,,,,,1,,,0,.687,,800,,0,,,2,,0,,1,,,0,0,0,0,0,Royals,0,.375,0,.312
,Shields,,,,,,,,,,James Shields,,,,,,,,,James,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Vargas,,,,,,,,,,Jason Vargas,,,,,,,,,Jason,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Hayes,,,,,,,,,,Brett Hayes,,,,,,,,,Brett,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Davis,,,,,,,,,,Wade Davis,,,,,,,,,Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Butler,,0,,PH,0,,0,0,1,Billy Butler,,,.000,,.266,,,0,Billy,,,,,0,,,0,.673,,601,,0,,,0,,0,,1,,,1,1,0,0,2,Royals,0,.353,0,.320
,Cain,,0,,RF,1,,0,0,4,Lorenzo Cain,,,1.000,,.294,,,1,Lorenzo,,,,,1,,,0,.740,,100,,0,,,0,,0,,1,,,0,0,2,0,0,Royals,0,.409,0,.331
,Hochevar,,,,,,,,,,Luke Hochevar,,,,,,,,,Luke,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royals,,,,
,Gordon,,0,,LF,2,,0,0,4,Alex Gordon,,1,1.000,,.276,,,0,Alex,,,,,2,,,0,.780,,300,,0,,,0,,0,,1,,,0,1,0,0,0,Royals,0,.423,0,.357
