AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FIRST_NAME,FTA,FTM,FT_PCT,MIN,OREB,PF,PLAYER_NAME,PTS,REB,SECOND_NAME,START_POSITION,STL,TEAM_CITY,TO
3,0,2,2,1,50,10,5,50,Aaron,6,5,83,26,1,2,Aaron Gordon,16,3,Gordon,F,2,Orlando,0
2,0,0,4,1,25,9,2,22,Serge,0,0,0,24,2,2,Serge Ibaka,5,2,Ibaka,F,0,Orlando,2
2,0,7,0,0,0,10,4,40,Nikola,0,0,0,24,0,3,Nikola Vucevic,8,7,Vucevic,C,2,Orlando,0
3,0,2,3,0,0,12,3,25,Evan,3,3,100,32,2,0,Evan Fournier,9,4,Fournier,G,1,Orlando,4
0,0,1,4,0,0,12,3,25,Elfrid,8,6,75,26,2,1,Elfrid Payton,12,3,Payton,G,0,Orlando,2
3,1,1,6,2,33,8,2,25,D.J.,2,2,100,28,0,2,D.J. Augustin,8,1,Augustin,N/A,1,Orlando,1
0,0,5,3,1,33,7,3,43,Jeff,5,5,100,18,0,0,Jeff Green,12,5,Green,N/A,1,Orlando,2
1,3,2,0,0,0,2,1,50,Bismack,2,2,100,25,0,3,Bismack Biyombo,4,2,Biyombo,N/A,0,Orlando,2
3,0,2,3,2,67,4,3,75,C.J.,0,0,0,20,0,2,C.J. Watson,8,2,Watson,N/A,1,Orlando,0
0,0,3,1,0,0,3,1,33,Mario,2,2,100,12,0,2,Mario Hezonja,4,3,Hezonja,N/A,0,Orlando,0
0,0,1,1,0,0,1,0,0,Damjan,0,0,0,6,0,2,Damjan Rudez,0,1,Rudez,N/A,0,Orlando,0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CJ,N/A,N/A,N/A,N/A,N/A,N/A,CJ Wilcox,N/A,N/A,Wilcox,N/A,N/A,Orlando,N/A
2,0,5,6,3,50,14,8,57,Tim,2,2,100,27,0,0,Tim Hardaway Jr.,21,5,Hardaway,F,2,Atlanta,1
4,0,4,3,1,33,14,7,50,Paul,8,6,75,28,1,3,Paul Millsap,21,5,Millsap,F,0,Atlanta,0
3,0,9,0,0,0,6,5,83,Dwight,3,1,33,24,4,1,Dwight Howard,11,13,Howard,C,1,Atlanta,2
3,0,2,2,0,0,6,4,67,Kent,0,0,0,27,1,1,Kent Bazemore,8,3,Bazemore,G,2,Atlanta,2
10,0,4,5,2,40,11,6,55,Dennis,4,3,75,26,0,1,Dennis Schroder,17,4,Schroder,G,2,Atlanta,2
1,0,4,2,0,0,4,0,0,DeAndre',0,0,0,23,1,2,DeAndre' Bembry,0,5,Bembry,N/A,1,Atlanta,0
2,1,3,2,1,50,2,1,50,Mike,2,2,100,20,1,1,Mike Muscala,5,4,Muscala,N/A,0,Atlanta,3
1,0,3,4,1,25,6,2,33,Mike,0,0,0,16,0,2,Mike Dunleavy,5,3,Dunleavy,N/A,0,Atlanta,4
1,0,1,4,2,50,8,5,63,Malcolm,0,0,0,21,0,4,Malcolm Delaney,12,1,Delaney,N/A,0,Atlanta,0
1,0,2,0,0,0,4,2,50,Kris,2,2,100,12,1,1,Kris Humphries,6,3,Humphries,N/A,0,Atlanta,1
0,1,1,0,0,0,0,0,0,Taurean,6,5,83,5,0,0,Taurean Prince,5,1,Prince,N/A,0,Atlanta,0
0,0,0,0,0,0,3,1,33,Mike,0,0,0,5,1,1,Mike Scott,2,1,Scott,N/A,0,Atlanta,0
0,0,0,0,0,0,0,0,0,Lamar,0,0,0,5,0,3,Lamar Patterson,0,0,Patterson,N/A,0,Atlanta,0
